0:1:35|0:1:41|[詹妮弗]开着车行驶在高架上，右手时而抬起，吸两口烟。
0:1:41|0:1:46|她来到街边摊上，闷着头吃着花生糕，桌上还有一碗面。
0:1:46|0:1:50|忽然抬起头，脸上已经挂着泪痕。
0:1:50|0:1:53|音像店老板见她便打招呼。
0:1:54|0:1:59|[詹妮弗]夹着烟，靠近摊子随意翻看，老板补充道。
0:2:15|0:2:22|[詹妮弗]垂着眼静静听着，夹起烟送到嘴边，吹响出声。
0:2:24|0:2:38|烟雾随着画面冒出来，蓬松的波浪卷垂在她的肩头，画面渐黑，片名从左至右浮现，分手，不分手。
0:2:38|0:2:42|敞亮的卫生间隔间里，[扣子]坐在马桶盖上精神恍惚。
0:2:47|0:3:3|[扣子]看向手中的苹果机，屏幕上显示来电人是天眼，他手指上涂着个性的指甲油，焦虑不安地抚摸着手机的一侧，没看几秒屏幕便轻松眉头闭上眼。
0:3:3|0:3:13|[扣子]深吸一口气，索性关了屏幕，埋头继续苦恼地抓着头发。
0:3:34|0:3:37|天眼一行人带着墨镜，禁止上了保姆车。
0:4:1|0:4:9|航站楼二号门下，[扣子]带着墨镜手插裤兜，独自一人脚步飞快地走出去。
0:4:9|0:4:12|夜幕降临，他从出租车上下来，心中默念。
0:4:41|0:4:45|[扣子]走到小区的喷泉池一旁站定。
0:4:45|0:4:50|池子里突然开始喷水，[扣子]看着喷泉笑出颜开。
0:4:50|0:4:55|他凝望着喷泉放松下来，侧分的长发盖住右耳。
0:4:55|0:4:58|这边摊上，[理工男]在笔记本上码字。
0:5:10|0:5:18|他敲下文章的最后一个句号，蒸汽在他身边飘散，[理工男]浓眉大眼，穿着高领的开衫毛衣。
0:5:18|0:5:23|这家是卖牛肉汤的老摊子，[理工男]松了松筋骨，喊道。
0:5:41|0:5:42|[理工男]开车回家。
0:6:3|0:6:9|[理工男]听到新闻皱起眉头，[扣子]躺在小区的长凳上睡着了。
0:6:9|0:6:12|[理工男]缓缓走近她，卸下肩上的包。
0:6:12|0:6:15|[理工男]略微吃惊地看着[扣子]。
0:6:22|0:6:25|哈姆雷特曾经给她写过情书。
0:6:38|0:6:47|转眼，[扣子]已经站在浴室的圆镜前，用毛巾擦拭着自己半湿的头发，墙上挂着他笑叶如花的照片。
0:6:47|0:6:57|他裹着浴巾躺上床，男人开吹风机给他吹头发，[扣子]闭着眼躺在男人的大腿上，男人轻柔地抚摸他额前的碎发。
0:6:57|0:7:5|男人开车带[扣子]出门，[扣子]坐在副驾驶上看向窗外的街景，他们来到一家叫潮的酒吧。
0:7:13|0:7:17|穿着格子上衣的长发女孩在台上轻轻吟唱。
0:7:17|0:7:23|八台前，男人盯着[扣子]喝下一口酒，他转身背靠八台放下酒杯。
0:7:23|0:7:28|[扣子]坐在他旁边的位置上，扶着额头看向舞台，回忆翻涌而来。
0:7:44|0:7:49|[扣子]站在酒吧原台上唱着歌，台下欢呼鼓掌，气氛热烈。
0:7:49|0:7:54|天野坐在角落里，饶有兴致地看着台上的[扣子]。
0:7:54|0:7:59|一曲终了，[扣子]向台下扔出飞吻，笑着和身旁的吉他手拥抱。
0:8:0|0:8:15|酒吧打烊时间，乐队成员们和[扣子]相拥着走出酒吧，[扣子]和他们挥手道别后走向马路对面，男人骑摩托载着[扣子]回家，[扣子]坐在他身后紧紧地搂住他的腰。
0:8:15|0:8:26|卧室里挂着熟悉的水晶珠帘，[扣子]靠在门框边边笑边拨弄帘子，男人走过来轻拂珠帘，带着笑意靠近[扣子]，凝望他的双眼。
0:8:27|0:8:33|男人用食指抬起[扣子]的下巴，[扣子]笑得面若桃花，两人亲密无间。
0:8:33|0:8:37|男人是[扣子]的男友，[卓小林]。
0:8:37|0:8:42|夜幕下的城市霓虹闪烁，[多多]带着男友回到新房里。
0:8:42|0:8:47|她刚进门，就着急帮男友把行李箱推进房间。
0:8:56|0:9:0|[多多]换好拖鞋，男友四仰八叉地倒在床上。
0:9:0|0:9:6|[多多]笑意盈盈地蹲下身，帮他脱掉皮鞋，麻利地换鞋收纳。
0:9:6|0:9:14|男友放松地望着天花板，见[多多]爬到身上，便搂住他吻。
0:9:14|0:9:17|[多多]迫不及待地低头吻上他的唇。
0:9:17|0:9:22|过了一会儿，[多多]把床单重新铺了一遍，放好枕头展开被子。
0:9:29|0:9:34|他把碎发往耳后拢了拢，拿着抹布开始擦地。
