0:3:38|0:3:47|Fireworks and cannons were booming on the bustling street, while inside this hotel,
0:4:34|0:4:46|The spy approached to inspect the food. When the window glass was smashed, the spies immediately aimed their guns. They approached to investigate and relaxed their guard only after confirming that there was nothing unusual.
0:4:48|0:4:52|He didn't check the food and approved it to be served, the stewardess took it away and walked forward.
0:4:57|0:5:3|Mr. Fan glanced at the steamed chicken.
0:5:4|0:5:22|As soon as the words fell, the stewardess opened the steamer and pulled out a gun, shooting Ye Jianbo dead with two shots. The secret agents immediately fired at him as he fled in panic towards the door, and he was shot in the leg just as he was about to reach the door.
0:5:22|0:5:29|The agents took the opportunity to chase after them, while Mr. Fan sat at the dining table, looking in horror at the body of Ye Jianbo.
0:5:29|0:5:36|More and more news about assassinations and attacks are appearing in the newspapers. The headline reads "Ye Jianbo Assassinated".
0:5:36|0:5:52|The Tenth Army of the Central China Front, Lieutenant Colonel Yanagimura, was poisoned, the 34th Division's General Nobuchika Miyamoto was ambushed, and even the Kwantung Army's Epidemic Prevention Water Supply Research Base was attacked. The Central China Front dispatched military transport vehicles were bombed, and Lieutenant Colonel Tanaka Shigemitsu of the 15th Division was ambushed.
0:5:52|0:6:8|A series of reports, newspapers after newspapers, have exposed all the negative news about the puppet government and the Japanese army, creating an atmosphere of terror. Even within their ranks, more and more high-ranking military and political officials are filled with fear and anxiety, unable to find peace.
0:6:10|0:6:17|In the interrogation room of the Japanese East China Military Police Branch that day, the female assassin sat on the ground, the blood on her legs had just dried up.
0:6:17|0:6:25|The director of the secret service department [Wang Tianxiang] sniffed a brush on the side. The female assassin looked at him in great fear.
0:6:37|0:6:57|Wang Tianxiang brushed the spices on the chest of the female assassin. The female assassin looked at him in horror, but had no intention of betraying the organization. The chief of the secret service didn't want to waste time, so he picked up the spices and sprinkled them on the chest of the female spy.
0:6:57|0:7:3|He then got up and walked to the pool to wash his hands. His subordinate turned on the faucet for him.
0:7:8|0:7:12|The hounds are barking wildly. The female spy is extremely nervous.
0:7:21|0:7:24|The hound gnawed on the part smeared with spices.
0:7:24|0:7:29|Imperial Army special agent chief [Wu Tian] arrived at the dungeon. [Wu Tian] slowed down and turned around.
0:7:45|0:7:53|Uncle Liu bowed and took orders. Finally, he followed [Wang Tianxiang] to the interrogation room.
0:7:53|0:8:1|Here, [Wu Tian] returning to the headquarters was questioned by the major general. The task of destroying the assassination organization has been handed over to the anti-bandit headquarters of the Wang government.
0:8:21|0:8:31|General ruthlessly mocked his unreliable intuition. [Wu Tian] could no longer argue at this point, as intuition without evidence is hard to convince others.
0:8:32|0:8:37|He stared at the general, took two steps back, and suddenly knelt down in front of the general.
0:8:38|0:8:48|The lieutenant general was slightly stunned. [Wu Tian] placed his hands on his thighs and made the final request.
0:8:48|0:8:55|After speaking, [Wu Tian] knocked his head, and the general still remained silent.
0:8:55|0:9:6|On the other side, the old man known as "Uncle Six" walked out of the military police department under the escort of a Japanese military officer. As they parted ways, they exchanged greetings. Inside the interrogation room,
0:9:6|0:9:11|The spy was cleaning the iron frame. The female assassin lay on the ground, with a horrifying look of death.
0:9:11|0:9:18|Her temples and eye corners are pierced with silver needles, and there are bloodstains on her face and chest. [Wu Tian] is standing in front of the office window.
0:9:18|0:9:26|[Wang Tianxiang] walked over and handed a tattered notebook. [Wu Tian] ignored it and turned back to his chair.
0:9:27|0:9:31|[Wang Tianxiang] was a little unhappy, holding a notebook and following along.
0:9:42|0:9:48|[Wu Tian] lowered his head and pondered for a while while leaning on the chair.
0:9:49|0:9:55|He lightly tapped the table with his fingers, [Wang Tianxiang] understood and put down the notebook.
0:9:55|0:10:4|[Wu Tian] put on white gloves and gently opened the cover of the old notebook.
0:10:8|0:10:14|In front of the City God Temple, there are people sharpening scissors and various small vendors, with people coming and going on the street.
0:10:15|0:10:23|At this moment, the Japanese soldiers were running in formation for training. Along the roadside, in the cars, [Kusunoki Colonel] was sitting.
0:10:23|0:10:31|[Wang Tianxiang] was smoking and staring at the tip. At this moment, an old man with a hat and a limp, carrying a bag and smoking, was walking among the crowd.
0:10:31|0:10:40|His limping figure quickly caught the attention of the disguised secret agent. At the corner, the secret agent disguised as a foreign cart driver also recognized this limping man.
0:10:40|0:10:47|The old man with a limp unknowingly walked towards the notice board. The foreign coachman quickly turned around and ran to the front of the carriage.
0:10:47|0:10:59|Director Gu Xiaomeng was stunned for a moment, then pondered for a while before taking a drag of his cigarette.
0:11:0|0:11:5|The foreign coachman turned and ran away. On the street, Grandpa Xue continued to stagger towards the bulletin board.
0:11:6|0:11:11|The spy behind was about to catch someone red-handed, but the foreign coachman rushed over to stop him.
0:11:13|0:11:22|Disguised spies pass messages to each other. Uncle Xue remains oblivious, still pasting glue on the bulletin board. His expression is dull, his actions natural.
0:11:22|0:11:31|No one could tell that he was on a mission. After finishing, he walked into the crowd carrying a bucket.
0:11:52|0:12:2|Wu Tian drew some circles on the map. After speaking, he stretched lazily. A confidential message came through the office telegraph.
0:12:2|0:12:8|The intelligence is transmitted through complex equipment in the form of radio electromagnetic waves, and is emitted at the terminal.
0:12:8|0:12:33|The recent terrorist activities have been rampant, and it seems that our intelligence channels have been infiltrated. Imperial Lieutenant General Hang Wei Liang has invited Commander Zhang and relevant personnel from the Anti-Bandit Command to discuss the intelligence operation process at Baicaotang in the western suburbs on the evening of October 31st at 9:00. The full content of the secret telegram has been sent to the Wang Wei East Anti-Bandit Command.
0:12:33|0:12:42|This secret telegram is a trap set by Colonel [Wu Tian]. Its purpose is to use the informant to lure out the lurking old ghosts and old guns.
0:12:42|0:12:51|That day, inside the Wang Puppet Government's East China Suppression Bandit Command. In the telegraph room, a group of code clerks worked in an orderly manner.
0:12:52|0:13:1|Some are tapping on the telegraph machine to send messages, some are consulting the codebook to translate telegrams, while at the front, [Gu Xiaomeng] is making a phone call and taking notes on the document content.
0:13:1|0:13:8|She then hung up the phone, put the written content into a folder, and quickly walked into the office further inside.
0:13:9|0:13:18|She handed the folder to the leader of the translation team [Li Ningyu]. [Li Ningyu] opened the folder and took out the manuscript to look through it.
0:13:18|0:13:23|Closing the folder again, she copied the manuscript onto another piece of paper.
0:13:24|0:13:32|Receiving and Dispatching Officer [Gu Xiaomeng] walked into the director's office holding a folder. Coincidentally, the captain of the Counter-Espionage Team [Wu Zhiguo] was also in the room.
0:13:32|0:13:40|Director Wu answered the phone with one hand and took the folder with the other. Lighting a cigarette with a lighter, he approached.
0:13:41|0:13:47|He took a deep drag on his cigarette and walked over to Director Wu's side. Director Wu impatiently hung up the phone.
0:13:47|0:13:56|Next, he closed the folder and walked out of the office. This person is the director of the Military Intelligence Department, [Jin Shenghuo]. He walked quickly towards the commander's office with the folder in hand.
0:14:0|0:14:8|Upon entering, he saw only the commander's aide [Bai Xiaonian] leaning on the sofa. When [Bai Xiaonian] saw the director, he stood up to take the documents.
0:14:10|0:14:16|[Bai Xiaonian] snorted, snatched the folder, flipped through it, and pushed open the door to walk into the commander's inner room.
