0:4:0|0:4:7|[李天然]和师姐看到[朱潜龙]从怀中掏出一张地契，
0:4:37|0:4:49|[朱潜龙]抱拳施礼，突然他掏枪打中师傅眉心，再一枪师傅倒下了，
0:4:58|0:5:20|[朱潜龙]走近[李天然]，[李天然]吓得跪在地上，手枪缓缓靠近，被[李天然]连躲四枪，他追出屋子对[李天然]开枪，[李天然]应声倒地，
0:5:27|0:5:41|熊熊大火立刻在尸体上燃烧起来，火势吞没了屋子，二人趁着夜色逃出庄园，山坡上飞快的两道人影跑下，二人快速钻进车子行驶出凄凉的雪地，
0:5:43|0:6:3|不料路口拐来另一辆汽车，两车差点相撞，车上的[亨德勒医生]不满地谩骂着他们的驾驶技术，回过头,[亨德勒医生]注意到山顶的火光，他一个急刹赶忙望去，只见一个背后冒着火的人影，从山坡间叫着由上往下跑来。
0:6:4|0:6:11|[亨德勒医生]惊恐地看着来者，正是大难不死的[李天然]，他紧紧扒在车前痛苦地尖叫着，
0:6:15|0:6:27|四声枪响引出片名：《邪不压正》。美籍医生[亨德勒医生]收养了[李天然]，为了保护[李天然]将他一直留在美国旧金山。十五年后，
0:6:27|0:6:49|[李天然]双手持枪在丛林中练习打靶，训练场上[李天然]挥刀砍断木桩，在马路上长跑，在一次次开枪和一次次劈砍中，他日复一日地砥砺自己，一身武艺，坚持不懈的[李天然]就这样练就了坚实的臂膀和灵活的身手，还有精准的枪法。
0:6:49|0:6:55|丛林中独木桩上，[李天然]轻松跑过，接着跨步来到障碍网前奋力向上爬着。
0:6:59|0:7:6|汽车载着他来到庄园，办公室里，长官批准了[李天然]的申请，[李天然]十分激动，终于可以回到北京了。
0:8:37|0:8:45|[李天然]模仿了一遍，问下一句该怎么接，长官用手背拍了拍两下额头，[李天然]跟着模仿，
0:8:54|0:9:9|火车的汽笛声划破了天空，下过雪的北平寒意浓浓，铁路两旁的树枝上结满了冰渣，鼓楼屋檐上也铺满了厚厚的积雪，总之一切望去都是银装素裹。
0:9:9|0:9:24|火车上，[李天然]就这样看着北平的样貌，这是一个在外的游子正表达着对家乡深深的思念。这片土地不久后将燃起战火，[李天然]内心所呼唤的正义是否能够伸张？
0:9:24|0:9:48|火车放缓速度，车头喷出热气，微不足道的热气也试图融化笼罩在北平上空的阵阵寒意，一道身影逆着铁轨而来，是个戴礼帽的中年人，他穿着整齐的大衣，盯着火车的车窗缓步走着，[李天然]拎着两个大行李箱招呼着上前接他的父亲，这个中年男人正是[亨德勒]。
0:11:45|0:11:57|汽车缓缓停在门口，[蓝青峰]正推着自行车走出，见到二人招呼道，父亲关好车门，[蓝青峰]推车走近[李天然]，
