0:0:50|0:0:57|接着，悬挂的照片相继旋转到正面，每张照片上的人都被遮盖住了双眼。
0:0:57|0:1:5|随后，照片围成一个圈。
0:1:54|0:2:1|突然，坚固的线变得多了起来，而穿插在中间的照片由一个人变成两个人，三个人。
0:2:1|0:2:10|他们好像在交谈着什么，随后，高压线铁塔出现在画面中间，它的左右悬挂着无数条高压线。
0:2:10|0:2:12|一天下午，郊外的冰库。
0:2:12|0:2:21|门口堆积着废弃的木头架子，而冰库外刷着白漆的墙面，因为被雨水常年地冲刷，露出了原本的水泥色。
0:2:22|0:2:27|突然，冰库外凹凸不平的小道上驶入两辆面包车。
0:2:27|0:2:36|而坐在里面的人将胳膊搭在车窗上，打量着周围破旧不堪的建筑。随后，面包车拐入长满杂草的小道。
0:2:36|0:2:40|突然，一辆黑色轿车出现在入口处。
0:2:40|0:2:50|副驾驶上的男人戴着一副黑色眼镜，耳朵上戴着一个蓝牙耳机，他看了看面包车的方向后，将目光落在正前方的显示屏上。
0:2:51|0:2:57|而此刻，冰库内一群男人站在传送带两边，注视着最中间的男人清点钞票。
0:2:57|0:3:2|另一边，一个手下拨开碎冰，拿出一个白色的包裹。
0:3:3|0:3:13|可其中一个人的皮带上装了摄像头，拍摄着在场所有人的一举一动。而摄像头的另一边正是坐在轿车里的男人，他紧盯着显示屏。
0:3:14|0:3:18|冰库里，一个男人的电话响起，他缓慢地接起。
0:3:22|0:3:29|阿顺立刻将白色粉末倒进水池，并用水将其冲进下水道。
0:3:29|0:3:35|阿狗则是观察着每一个人的表情。
0:3:40|0:3:46|[李沧东]旁边的同事着急地说道。而他紧盯着显示屏中的一个人，突然皱起眉头。
0:3:50|0:3:55|冰库里，卧底在接到命令之后，将装满钞票的袋子扔向对面，随后立刻将其扑倒在地上并扭打在一起。
0:4:0|0:4:5|突然的枪声，使坐在显示屏前的[李沧东]揪起了心。接着，大量身穿防弹衣的人奔向冰库。
0:4:6|0:4:11|另一边，躲在角落的男人惊慌失措地看着卧底和毒贩扭打在一起。
0:4:12|0:4:19|随后，二人争夺的枪滑落在他的面前，胆小的他探出头，看着枪，而陷入危险的卧底说。
0:4:38|0:4:43|逃跑的[阿弟]在听到警察的声音之后，慌乱地环顾四周。
0:4:43|0:4:47|接着，他立刻爬进机器底下，这时，大量的警察涌入。
0:5:22|0:5:28|说完，他将手伸向[李沧东]。而[李沧东]淡定地掏出信封。他看着手中的信封。
0:5:44|0:5:50|可他根本不听，突然转过身，指着[李沧东]说。
0:5:51|0:5:57|而[李沧东]则是从容不迫地看着他说道。
0:6:0|0:6:3|被扇了一巴掌的[李沧东]愧疚地看着摔门而出的男人。
0:6:3|0:6:8|男人急促地走在大街上，并警惕地环顾四周。
0:6:8|0:6:17|接着，他将手中的背包捧在怀里，可就在走过拐角时，他突然停住脚步，眼神惊恐地看着前面。
0:6:17|0:6:24|对面则是[阿弟]带着两个手下，紧紧盯着他。随后一旁的巷子里走出三个手下。
0:6:24|0:6:33|此时的男人被吓得目瞪口呆，紧接着，他将滑落的背包重新背回肩上后，转身跑入了一旁的巷子里。
0:6:33|0:6:39|由于天色太黑，男人被堆积在两旁的储物筐绊倒在地上。
0:6:40|0:6:44|慌乱中，他手扶着菜筐连忙爬起，无暇顾及一旁的背包，拔腿就跑。
0:6:46|0:6:52|突然，转弯处。[阿狗]一个箭步追了上来，他挥动手中的大刀向男人砍去。
0:6:52|0:6:56|此时，身中数刀的男人东逃西窜，于是他躲进狭小的缝隙中。
0:6:58|0:7:11|而身处黑暗的他，捂着血流不止的胳膊，还是被发现了。接着，男人接连后退，这时[阿狗]在同伴的呼喊下赶了过来，他手里握着刀紧紧相逼。
0:7:15|0:7:20|而就在男人倒落在地时，后面的同伴走上前，将手中的刀扎向他的腿。
0:7:30|0:7:41|接着，他迅速站起身，爬向旁边的楼梯。此刻的他看到了希望，因为楼梯尽头的右边是出口，于是他趴在铁栅栏上大声呼喊着。
0:7:46|0:7:52|迫切想出去的他，顺着缝隙将半个身子伸向外面。
0:8:0|0:8:9|[阿狗]不甘心地转身离去。此时的男人瘫软在铁门上，他面带狰狞的表情，一只手抓在铁栅栏上。
0:8:9|0:8:12|一只手紧紧扣住门外的铁柱。
0:8:12|0:8:18|另一边，身处昏暗灯光下的[李沧东]坐在床边。低头思考着什么。
0:8:28|0:8:35|接着，[李沧东]与同事出现在酒吧。
0:8:42|0:8:50|不一会儿，趴在吧台上的[李沧东]缓缓抬起头，看着酒杯。
0:8:58|0:9:6|突然，他的视线被一位美女所吸引，而坐在对面的美女，在对上他的眼神之后，举起手中的酒杯回应他。
0:9:6|0:9:14|二人被酒吧里觥筹交错的暧昧色调侵蚀着，可[李沧东]只是借着酒意在宣泄心中的郁闷。
0:9:14|0:9:22|随后，画面渐渐出现了纵横交错的铁丝，而缠绕在一起的铁丝，最终形成了线人两个字。
0:9:22|0:9:30|一年后，在四面高楼的中间，透射着风和日丽的天空。此时的天空里竟没有一片云彩。
0:9:31|0:9:36|随后，通过门上的透明玻璃，可以看见[李沧东]正在缓慢地爬着楼梯。
0:9:36|0:9:40|而他面无表情，如同往日一般拉开门走了进去。
0:9:40|0:9:48|接着，他先是按下墙面上的门铃，再推开玻璃门走进去。此刻，前台的男人说道。
0:11:8|0:11:15|此时，他目光呆滞，却很认真地说。另一边，巷子里的车上。
0:12:0|0:12:5|晚上，下过雨的街道湿漉漉的，几洼浅浅的积水倒映着高楼。
0:12:5|0:12:12|电梯门被打开，从里面走出来的[李沧东]，一手拿着一摞书，一手拎着公文包。
0:12:12|0:12:18|随后，他径直走向一道封闭的防盗门，掏出钥匙打开后，便走了进去。
