0:2:1|0:2:14|[沈默]在台上发言，男领导却在下面自拍，员工们听到有钱拿，纷纷热烈鼓掌。
0:3:39|0:3:44|[沈默]敬完酒又顺手拿走桌上的手机，转身离开酒席，随后又将手机放在传菜员的菜里
0:4:3|0:4:18|正在说话的警察，突然看到送进来的菜里有一部手机，上面的照片正是贼王。另一边[沈默]猛地推开一扇门，[沈默]面色严肃地拍了拍手边的行李箱，
0:4:28|0:4:40|就在[沈默]发怒的同时，一群警察冲进了贼王的宴会厅，警察随后飞身上桌快跑几步，直接把喝酒的贼王一把按住，
0:4:48|0:4:55|[沈默]说完顺走了皮箱来到酒店大堂，此时大堂内，因为警察对犯罪团伙进行抓捕而乱成一片，
0:5:22|0:5:38|帮助警方成功拿下犯罪团伙的[沈默]在夜幕降临时，来到酒吧放肆，他端着酒杯搂着美女痛快地喝下手里的酒水，又和她们玩起了小游戏，下一秒却因为心事孤独地坐在包厢思考人生，
0:5:57|0:6:16|[沈默]沉浸在纸醉金迷的气氛中，突然有血从他的鼻孔流出，他像是察觉到了什么，毫不在意地用手抹去，谁知下一秒他竟直接晕了过去。天色渐明，身穿病号服躺在病床上的[沈默]缓缓地醒过来，
0:6:48|0:6:53|[沈默]透过玻璃观察医生的唇语，知道自己命不久矣，
0:7:1|0:7:22|[沈默]随后坐在轮椅上，被一名护士推出了病房，之前抓到贼王的警察也正好走在医院的走廊上，本应和[沈默]撞见的他，却看见护士推着空的轮椅从自己身边走过。
0:7:24|0:7:51|大街上两个孩子拿着募捐箱请求路过的好心人献爱心，此时，一个戴着金戒指的男人走到他们前面，将口袋里大把的现金塞进募捐箱里，随后潇洒离去，留下满脸疑惑的孩子，[沈默]坐在满墙都是红酒的房子里，他端起水杯喝了一口水。
0:7:52|0:7:55|又操作着电脑将100万汇给希望
0:8:2|0:8:16|银行大厅内[沈默]拿着给平安县博爱助残委员会的汇款填写单，随手拿起一支笔却没了墨水，他对着笔尖哈气，但并没有什么用，旁边的陌生女子填完后将自己的笔顺手留在自助台上。
0:8:16|0:8:24|[沈默]见状赶紧上前拿起笔填写，可正当他低头时，血却从鼻子里滴了下来，
0:9:5|0:9:17|[沈默]端着菜踉踉跄跄地把它端往客人的桌上，客人迫不及待地开始享用美食，[沈默]转身回到后厨开始洗菜，
0:9:28|0:9:43|老板娘举着菜刀威胁道，话音刚落，店里的客人突然倒在地上浑身抽搐，老板看着[沈默]离开的背影和妻子惊慌地说道：
0:10:34|0:10:49|刚刚还浑身抽搐的客人，现在却手麻脚利地将餐馆老板的钱转走，原来他竟是[沈默]的同伙：[杜宇]，电话的另一头，餐馆老板在自助提款机前看着面前只剩十的余额，气愤地拍打着屏幕，
0:11:36|0:11:42|[杜宇]指着电脑上爱马仕的包包给[沈默]介绍到，而[沈默]却无动于衷，
0:11:51|0:12:4|他走到角落打开门，[沈默]举着一份外卖开口说道：洒出的外卖弄脏了年轻人的鞋，
0:13:7|0:13:25|[沈默]在贾总公司顺利入职，他走出公司点头哈腰了一阵，在公司门关上的一瞬间，刚刚还在满面笑容的[沈默]立马变得冷漠起来，他转身边走边解开上衣的扣子，然后走进昏暗的走廊，走廊的墙上满满当当全是小广告。
0:13:25|0:13:51|[沈默]一把脱下送餐员的衣服，将衣服翻了一面，竟是一件西装，他习以为常地将西装穿上，谁知刚下了一层楼后，[沈默]突然停下，他又将衬衫扣好，打开面前的消火栓，从里面拿出梳子开始梳头，在确保自己的形象没有问题时，又从消火栓里拿出一个挎包，这才拐了弯，进入信得过医药公司。
0:14:56|0:15:8|[沈默]向三个小弟使眼色，小弟挥动着手跟他再见，随后[姚总]来到诊所里收账，大夫看向他背的包深思着，
0:15:48|0:16:14|[姚总]刚骑上三轮车离开，还在看病的大爷大妈二话不说地冲出诊所，赶紧抄近道跟上，三人你追我赶，大妈跑不动了，对着老伴说道：话刚说完，[姚总]从他们眼前经过，大爷赶忙跟了上去，在[姚总]快要经过的路上坐了下来，谁知他骑车拐个弯，大妈见状连忙跑了过来了。
0:16:18|0:16:33|[姚总]对这一切一无所知，[沈默]却将这一切尽收眼底，[沈默]随后回到了假药制作工厂，三个小弟看着直播笑出声来，而后面的[沈默]却不知在思考着什么。
0:16:44|0:16:59|在小弟看向[沈默]时，他才咧开嘴放声大笑，小弟转过头后，[沈默]又恢复了面无表情的样子。
0:17:39|0:17:50|身穿旗袍，将卷发盘起的女主播[马晓丽]唱完，直播间的人纷纷离开，但她并没有因此气馁，重新整理好情绪，对着观众开口说道：
0:17:58|0:18:11|话还没说完，直播间里的游客都已经走光了，[马晓丽]失落地走出屋子，她轻轻推开隔壁的房门，只见身穿可爱公主服的[兰兰]，正在一边假唱，一边对着镜头卖萌。
0:18:22|0:18:35|[兰兰]的直播间人气爆满，评论和鲜花礼物占满了整个屏幕，[马晓丽]站在门外面无表情地看了一会儿，然后失落的关上房门，她默默走到厨房，套上围裙，拿起菜刀，开始做饭，
0:19:32|0:19:38|琪琪展示着自己的低胸吊带，[马晓丽]低头抖了抖自己的衣服，
0:20:0|0:20:14|[马晓丽]换了一身可爱的装扮，可直播间里还是没什么人气，她给直播间里唯一一个观众发了一句：谢谢你对我的支持。
0:20:14|0:20:40|可对方只回了：“表演圣经”这四个字，她赶紧追问对方是谁，然而观众没有回复，而是直接关掉了电脑，变暗的屏幕上倒映出[沈默]的影子，他拿出一本《表演圣经》开始在上面写写画画，刚写了几个字就被震动声打断了，他拿起手机一看，电话是餐馆朱哥打来的，
0:20:48|0:20:54|之前跑掉的餐馆老板朱哥吓得赶紧挂断手机，[沈默]将电话回拨回去，
0:21:2|0:21:13|朱哥看着[沈默]来的电话迟迟不敢接通，他走投无路，在关公神像面前下跪，以求保佑自己，觉得不够虔诚，也让妻子一起下跪。
0:21:16|0:21:23|深夜穿着暴露的醉酒美女[小薇]从车中下来，她摇摇晃晃地朝居民区走着。
0:21:23|0:21:38|另一边[沈默]的同伙[杜宇]正吃着饭看着日本动漫，动漫里的女主角对着男生说道：一见钟情不是无缘无故的，看到这里，[杜宇]竟感动地快要流下泪水。
0:21:38|0:21:46|这时门外响起了敲门声，他极度不耐烦地转头看向大门处，随后开口问道：
0:22:0|0:22:22|打开门竟是[小薇]的投怀送抱，[杜宇]懵了，[杜宇]陪着[小薇]喝酒，二人对碰饮完，[小薇]拿酒的杯子还没放下，[杜宇]赶忙接过去，
0:22:28|0:22:38|[杜宇]倒了杯酒，[小薇]拿着酒杯思索，随后又将它举起，两人来到室外，
0:23:32|0:23:50|[小薇]说完，天空中突然下起大雨，[杜宇]一脸幸福地撑起雨伞，二人在大雨中宛如一幅美好的画卷。天色渐明，[沈默]已经到了贾总公司上班，他讲着流利的普通话，掐着嗓子对电话那头碰瓷的大爷大妈忽悠道：
0:24:6|0:24:24|[沈默]满意地放下电话对贾总问道：贾总对着他竖起大拇指，看着电脑上交易成功四个字，贾总先是愣了愣，然后双手一拍开心地站了起来。
0:24:34|0:24:48|阿莲应声走了出去，[沈默]随后坐下，摸了摸红龙鱼雕像，又顺手把网线拔了，坐在电脑面前的老板看着电脑没网，眉头紧锁道：
0:25:38|0:25:46|[沈默]在一旁偷偷将U盘插入电脑拷贝数据，这时贾总突然探头看向电脑，又转头对着他询问，
0:26:18|0:26:36|与此同时女主播[马晓丽]一改往日的风格，她头戴一顶小礼帽，头发微卷垂在肩上，给电脑屏幕上换上了可爱的小猪保护套，她闭上眼睛跟随音乐律动，直播间都被观众的礼物刷屏，她自信满满地开口唱道：
0:26:51|0:26:58|屏幕那边的[马晓丽]一举唱完，觉得十分痛快，随即大喊一声，
0:28:19|0:28:26|[杜宇]见[沈默]还是一言不发，只得岔开话题。
0:29:22|0:29:40|[沈默]将平板电脑甩到姚总面前，画面里赫然是女主播[马晓丽]，接到代言邀请的[马晓丽]身穿盛装，脚踩高跟鞋从地铁站里出来，没走几步就因为不适应高跟鞋而崴脚了。她站在马路边，一辆蹦蹦车从她面前经过，
0:29:40|0:29:49|她看着后面没有其他车辆，赶忙追上了刚开走的蹦蹦车。
0:30:14|0:30:22|[沈默]身穿西装对[马晓丽]招手，[沈默]打着伞向[马晓丽]走去，这时却被贾总拦住。
0:31:12|0:31:22|[杜宇]坐在前台收到了[小薇]说想喝爱心汤的消息，他随后傻笑着回复：稍后送到。不远处，姚总对着小弟嘱咐道：
0:31:30|0:31:36|姚总被[马晓丽]吓了一大跳，[马晓丽]摘下墨镜尴尬地看向姚总，
0:31:55|0:32:4|[杜宇]本想去隔壁的饭店点菜，不料刚出门就看到隔壁老板把店关了，
0:32:23|0:32:36|[杜宇]这下彻底傻眼，而饭店内[马晓丽]和姚总在饭桌上也不说话，显得极其尴尬。[沈默]应付完贾总连忙来到饭店，他将手中的伞放到前台上，走到[马晓丽]面前，
0:33:43|0:33:59|[沈默]正说着，抬头却看到贾总带着人向这边走过来。眼看即将露馅，[沈默]安抚好[马晓丽]，转身向门外走去，他换上谄媚的笑容，小跑跑向贾总，
0:34:25|0:34:47|贾总说完向店里走去，阿莲绷着脸走到[沈默]面前气冲冲地说道：说完阿莲生气地离开，[沈默]的表情从谄媚变为锐利，转身跟上了他们。贾总刚进饭店就向[马晓丽]打了招呼，然后转头面向阿莲，
0:34:56|0:35:1|后面进来的[沈默]故意将店内的音乐调大，然后走到[马晓丽]面前，
0:35:7|0:35:14|[杜宇]在后厨准备着饭菜，这时[沈默]进来对他说道：
0:35:39|0:35:51|说完[杜宇]就拿起手机，饭店内贾总拿着酒摆在桌上，对着手下员工嘱咐道：
0:37:15|0:37:38|后厨这边从白天到黄昏直至夜幕降临，[杜宇]一边抓鱼一边炒菜，忙碌时甚至两手都拿起锅铲开始做饭，为了十万块，他真的拼了老命，他面无表情地将菜品出锅，旁边的[沈默]则端着刚出锅的菜给店内的人送去，他面带微笑，掀上挺胸，自信满满地将菜端给[马晓丽]这桌。
0:37:38|0:37:43|随后面带谄媚，低头哈腰地双手将菜品端给[贾总]一桌。
0:37:43|0:38:1|[贾总]见状举起酒杯站了起来，[沈默]一脸乖巧地跟[贾总]与同事碰杯饮酒，而悲催的[杜宇]还在后厨不知疲倦地炒菜，在现代化的城市里，饭店里的桌布以及装饰都是东北的大花布，与他整个人一样，和这座城市格格不入。
0:38:1|0:38:22|[沈默]一遍又一遍地重复着之前给大家端菜的步骤，面对两桌不同的人，他灵活地切换着不同的表情与身份，他以不同的身份从容地面对两桌不一样的人，在面对[马晓丽]时的意气风发和面对[贾总]时的阿谀奉承，哪一个才是真正的他，
0:38:22|0:38:36|恐怕连他自己也不清楚。他像一个获得了无数荣誉的演员，在现实生活中用两种不同的情绪和面貌来演绎自己心中完美的表演。
0:38:37|0:38:54|再给两桌人上完最后一道菜，[沈默]走到[贾总]和同事的桌前，端起酒杯回敬了他们一杯酒，又回到[马晓丽]和姚总这一桌上，他在桌前淡定地坐下，紧接着又翘起二郎腿作出一副悠闲的样子。
0:38:54|0:39:6|[沈默]对着[马晓丽]讲着自己产品找她代言的后续计划，在后厨忙着炒菜的[杜宇]听着他的话，一脸无语地看过来，
0:39:45|0:39:52|[贾总]听了[沈默]的话，尴尬地笑了两声，然后开口说道：
0:40:31|0:40:39|[沈默]转头，只见二人双手紧握，他犀利的眼神紧盯二人，姚总才将手放开，他这才转身看向[贾总]，
0:40:46|0:40:55|[马晓丽]从镜子里看着[沈默]这副模样，了然地笑了，二人走在马路上，[沈默]问[马晓丽]：
0:41:28|0:41:44|[马晓丽]突然崴了脚，就在她即将摔倒时，旁边的[沈默]一只脚勾着树，一只手将她拉住，这才让她幸免于难。过了一会儿，[沈默]突然出声，[沈默]边说边流鼻血。
