0:2:2|0:2:5|The large gem in the middle sparkled brightly.
0:2:5|0:2:13|The middle gem, the diamonds on both sides, and the pendant below were divided into three parts, followed by the appearance of the film title.
0:2:13|0:2:16|The following is a description of the main feature.
0:2:16|0:2:25|The mastermind of the theft case, [Zhang Dan], was released after serving 5 years in prison, in a desolate countryside. The French Frênes Prison is located here.
0:2:25|0:2:37|A black-clad prison guard opens a drawer expressionlessly, inside are cigarettes, a wallet, a cellphone, and a Guanyin pendant. The glass reflects the figure of [Zhang Dan], who silently takes the items away.
0:2:37|0:2:44|The prison guard pressed a button, and the prison gate slowly opened, allowing sunlight to instantly shine into the dark prison.
0:2:44|0:2:52|Detective [Pierre] stood straight outside the prison gate, while [Zhang Dan] walked out and put the pendant around her neck.
0:2:52|0:2:54|[Pierre] stepped forward and said, "You seem to be in good shape."
0:3:6|0:3:28|[Pierre] joked: [Zhang Dan] let out a sigh and said, [Zhang Dan] nodded in agreement, but then looked up provocatively and said, before patting the displeased [Pierre] on the face and leaving straight away.
0:3:30|0:3:42|Pierre then took out the walkie-talkie from the car and said, staring straight at Zhang Dan's back. Zhang Dan hid himself with the hat on his clothes and walked gracefully on the road in the field.
0:3:43|0:4:6|Next to a gas station, a car followed [Zhang Dan], with an undercover policewoman sitting inside. [Zhang Dan] sat by the window of the convenience store, drinking a beverage and watching the children playing outside. Suddenly, a stranger called, and the policewoman in the car took out a camera and zoomed in to take a picture of [Zhang Dan]. Then a car drove past the window, and [Zhang Dan] disappeared.
0:4:6|0:4:16|The policewoman hesitated for a moment, realizing something was wrong. She immediately put down the camera, got off the car, and saw a helicopter rising up from behind the gas station and flying away.
0:4:16|0:4:39|The female police officer chased after but found it was too late. A cigarette box was thrown down from the plane. The officer's face turned ugly as she stood in place watching the plane leave. A police car stopped next to an antique shop, and [Pierre] got out of the car. Police tape was set up around the antique shop, and an officer was taking photos of the crime scene. [Pierre] walked in and said to the man being held hostage in the room:
0:4:57|0:5:4|He pointed to the necklace on the suspect's neck and said,
0:5:16|0:5:22|[Pierre] looked around skeptically, then picked up an antique cup and handed it to the man, saying,
0:5:32|0:5:55|As soon as the voice fell, on the other side, a helicopter flew across the sky, below was an endless ocean. [Lao Mo] piloted the aircraft, with [Zhang Dan] sitting behind. They flew all the way to Cannes, France. The helicopter landed on the outskirts of the city, [Zhang Dan] opened the cabin door and locked eyes with [Lao Mo]. [Lao Mo] turned his head and gave him a thumbs up. [Zhang Dan] then slowly stood up, holding onto the cabin door, looking down at the sea where groups of...
0:5:55|0:6:4|The ship in the distance looked as small as a sesame seed. [Zhang Dan], wearing a flight suit, stuck her whole body out and seized the opportunity to leap down.
0:6:4|0:6:20|He spread his arms, his body bouncing with the airflow, flying towards the coast, below him was the boundless sea, in the distance were endless mountain peaks, connecting with the sky in a line, [Zhang Dan] glided rapidly against the wind, searching for the destination where he would soon land.
0:6:20|0:6:33|He then opened the parachute behind him, slowing down instantly. He gradually began to descend, choosing a pier surrounded by several fishing boats. He got closer and closer to the ground, and soon landed steadily on the ground.
0:6:36|0:7:1|[Xiao Bao] disguised himself as a foreigner with a headgear and wig, and arrived at the entrance of the luxurious Cannes Grand Hotel. The hotel was magnificent, with service staff bustling around to carry luggage for guests. There were many security guards inside and outside the entrance, along with a security checkpoint. [Xiao Bao] walked straight in, threw his backpack to the security officer, and stood at the security gate waiting for inspection. His disguise successfully fooled the computer and security guards, allowing him to pass through the security check smoothly.
0:7:1|0:7:12|He took the backpack from the security guard, walked through the hotel lobby, and a group of people in uniforms approached. [Xiao Bao] glanced at them, then turned and walked into a small door that was not easy to spot after they had walked away.
0:7:17|0:7:25|At this moment, [Zhang Dan] still had his gear on as he ran towards the lighthouse not far away, while [Xiao Bao] walked through the dim corridor to the innermost part.
0:7:25|0:7:42|He took out a computer from his bag and placed it on a table, then plugged in a network cable from the wall. Meanwhile, [Zhang Dan] rode a motorcycle out from the lighthouse and changed into a sharp suit. He raced along the coastal road, determination shining through his helmet.
0:7:42|0:7:56|At this moment, [Xiao Bao] was leisurely peeking at the hotel's internal network information. He skillfully found the list of hotel inspectors, and Zhang Dan's photo suddenly appeared on it. Unable to resist, Xiao Bao teased Zhang Dan.
0:8:3|0:8:7|[Xiao Bao] chuckled and pressed the delete key, erasing all of [Zhang Dan]'s information.
0:8:7|0:8:30|[Zhang Dan] rode his motorcycle into the city, overtaking all the cars. [Xiao Bao] was also packing up to leave. At that moment, the hotel entrance was covered with a red carpet and surrounded by fences. A group of people held up signs and shouted. Reporters and photographers swarmed in, snapping photos of the people walking on the red carpet. Among them was a woman in a gorgeous gown, wearing a diamond-studded necklace.
0:8:30|0:8:40|Posing for the photographer, [Zhang Dan] walked past from the side, making a fake move to deceive the man in front of her, stealing the invitation letter from his pocket. The voice of [Zhang Dan] echoed in [Xiao Bao]'s ears.
0:8:43|0:9:3|[Xiao Bao] returned: [Zhang Dan] walked into the hotel and pretended to be familiar with the security guard, smiling at him. With a stolen invitation, she successfully deceived the guard. [Xiao Bao] slipped into another room. [Zhang Dan] walked through the crowd and entered the elevator. She said to [Xiao Bao], who raised his arm to look at his watch. In a bar, a group of people cheered and shouted.
0:9:4|0:9:18|In the crowd, [Ye Hong] dressed in a studded leather jacket, with a neat short hair and smoky makeup, she won a wrist wrestling match against a man and said to the people around her: She walked out of the bar, put a mini communicator in her ear, and greeted with a nod.
0:9:31|0:9:37|[Ye Hong] sneered and rolled her eyes.
0:10:16|0:10:22|[Ye Hong] swaggered down the street, chewing on a lollipop. Before long, she hopped into a car and spoke again.
0:10:56|0:11:0|She shouted along with the crowd while observing her surroundings.
0:11:9|0:11:20|The item was sold for two hundred thousand euros. [Zhang Dan] followed the crowd, clapping, and entered the venue. The auctioneer thanked the buyer and had a servant remove a painting from the stage.
0:11:26|0:11:34|Amidst the applause, the spotlight followed [Tingting] as she walked onto the stage slowly. The auctioneer then continued:
0:11:48|0:12:0|[Zhang Dan] took out her phone and took a picture of the Wings of Destiny on stage. The screen displayed: Target locked. Meanwhile, on the other side, [Xiao Bao]'s computer successfully received the information sent by [Zhang Dan]. After putting down her phone,
0:12:6|0:12:22|At this moment, a car stopped at the hotel entrance. [Pierre] got out of the car, [Ye Hong] noticed something unusual, furrowed her brows, took out her phone, and sent a photo of [Pierre] to [Xiao Bao].
0:12:51|0:13:18|He sought help from his accomplice [Lao Mo], who was flying a helicopter at the time. Meanwhile, [Pierre] followed the security guards into the control room. With sharp eyes, he scanned the row of screens in front of him and soon spotted [Zhang Dan] in the hall. Applause thundered in the hall as the bidding price reached six million. The auctioneer's hammer was about to fall, and everyone held their breath as the hammer hit the table with a resounding thud, signaling the successful sale of the necklace.
0:13:33|0:13:48|The applause at the auction house was continuous, and Miss [Tingting] also showed a satisfied smile. [Zhang Dan] said, "With instructions received, [Ye Hong] is ready to go, shouting loudly:"
0:13:54|0:14:6|[Ye Hong]'s words instantly ignited the protest team, and she led everyone to break through the barricades and rush into the hotel crazily. The security guards were completely unprepared for this sudden riot, desperately trying to stop them, but to no avail.
0:14:9|0:14:24|[Ye Hong] once again incited everyone to attack the auction house, and the hotel lobby instantly fell into chaos. At this moment, [Pierre] was still in the control room observing [Zhang Dan]'s every move, muttering to himself: [Zhang Dan] provocatively stared at the camera, smiled, and got up to leave.
0:14:24|0:14:38|The crowd finally noticed the rioting mob, and the head of security quickly instructed his subordinates to transport the auction items back to the vault and lead the guests to the VIP room. The security guards in the venue responded promptly and efficiently arranged for the safe evacuation of the guests.
