0:2:29|0:2:34|[Li Xing] finished speaking and smirked at her, causing the girl to burst into laughter.
0:2:34|0:2:43|There was a hint of tenderness in his eyes, and the boy started eating as well. However, his attention was all on the girl, causing him to accidentally knock off the lid of his lunchbox.
0:2:43|0:2:46|Years have passed, the grown-up He Qiaoqiao is now making porcelain.
0:2:54|0:3:2|She picked up the porcelain on the table and walked towards [Li Xing], who held the bowl and fed the soup by hand.
0:3:7|0:3:13|[Li Xing] was slurping his soup when [He Qiaoqiao] noticed something. She took out a band-aid, tore open the packaging,
0:3:13|0:3:20|After applying the band-aid, [He Qiaoqiao] kissed the wound.
0:3:33|0:3:36|[He Qiaoqiao] suddenly kissed [Li Xing].
0:3:36|0:3:42|Amid the cheers of their friends, the two kissed, and [He Qiaoqiao] shyly covered her face.
0:3:42|0:3:50|As graduation season approaches, [He Qiaoqiao] and [Li Xing] excitedly throw their mortarboards into the air. The scene then shifts to a restaurant five years ago.
0:4:59|0:5:10|After pressing the button, [Li Xing] stared at the other person with an incredulous look on his face. The boss took the contract and looked at the two of them. [He Qiaoqiao] picked up her bag and was about to leave, then turned to look at [Li Xing].
0:5:10|0:5:16|He Qiaoqiao's index finger slowly approached the corner of Li Xing's mouth, causing him to smile with a gentle expression.
0:5:18|0:5:26|Her expression was complicated as she stared at Li Xing's eyes for a long time. He Qiaoqiao turned around and left, leaving Li Xing sitting there.
0:5:26|0:5:34|The scene shifts, [He Qiaoqiao] slowly walks towards a bridal shop on the street, the brand - Lan Yu, that she mentioned to [Li Xing] when they broke up.
0:5:34|0:5:46|She looked at the wedding dress in the shop window, then picked up her camera and took a photo through the glass. The photo slowly slid out, and she looked down at it for a long time as the scene gradually faded away.
0:5:47|0:5:55|With the music playing, the words "Breakup Contract" slowly appear on the screen, one day several years later.
0:5:55|0:6:4|[He Qiaoqiao] opens the cabinet, takes out the bottles and jars inside, then she unscrews the bottle cap, holds the medicine bottles together with her hands, and squats over the toilet.
0:6:5|0:6:14|He Qiaoqiao tossed the pills into the toilet one by one, took a deep breath, ceremoniously closed the toilet lid, and pressed the flush button.
0:6:14|0:6:23|As the water flowed away, she couldn't help but laugh, then picked up the phone on the sink and made a call.
0:6:28|0:6:33|[He Qiaoqiao] uncovered the bowl of soup, tasted it carefully, while [Mao Mao] looked at her expectantly.
0:6:43|0:6:48|[Mao Mao] laughed on the side, [He Qiaoqiao] also forced a smile at [Mao Mao] twice, then walked away.
0:6:51|0:6:57|Years later, [Li Xing] has also become the head chef of a high-end restaurant, and a waiter brings a dish to [Li Xing]'s table.
0:6:58|0:7:1|[Li Xing] puts the finishing touches on the dishes.
0:7:1|0:7:9|On the other side, [He Qiaoqiao] and [Mao Mao] arrived at another restaurant, where [He Qiaoqiao] carefully examined the spaghetti.
0:7:13|0:7:20|[He Qiaoqiao] fingers twirl around the plate filled with food.
0:7:31|0:7:34|[Mao Mao] awkwardly responded.
0:7:34|0:7:37|On the other side, [Li Xing] was skillfully cutting fish in the kitchen.
0:7:37|0:7:44|He Qiaoqiao demonstrated while pouring water, and at this moment, she picked up a piece of raw fish.
