0:0:51|0:0:55|On a rainy day, [Ke Jianming] is being criticized by the boss.
0:2:8|0:2:12|The boss looked at the back of [Ke Jianming] as he left, and asked the secretary.
0:2:12|0:2:20|The secretary nodded innocently, and [Ke Jianming], upon learning that his wife was dying, rushed home in a state of extreme anxiety.
0:2:20|0:2:23|Unfortunately, the weather didn't cooperate as it started to rain heavily outside.
0:2:23|0:2:28|Watching the pedestrians with umbrellas on the road, he stamped his feet in anxiety and turned to the security guard for help.
0:2:40|0:2:46|[Ke Jianming] could only grit his teeth and charge into the rain alone, the pouring rain causing the streets to be flooded everywhere.
0:2:46|0:2:52|He used his arm to shield from the rain and dodged puddles as he ran towards home, finally reaching the bottom of the residential building.
0:2:52|0:2:58|A speeding car splashed him with water, making his already makeshift suit even worse.
0:2:58|0:3:5|Wife [Wang Yue] is sitting in front of the dressing table at the moment, concentrating on applying makeup, dabbing lipstick on her lips to create full lips.
0:3:6|0:3:10|Open your eyes wide and use mascara to brush your eyelashes thick and long.
0:3:10|0:3:13|At this moment, [Ke Jianming] braved the heavy rain and finally ran back to the apartment.
0:3:19|0:3:26|Without waiting for an answer, he casually said a few words and then hurriedly ran towards the elevator, pressing the button repeatedly, but the elevator did not respond.
0:3:26|0:3:29|Upon closer inspection, the sign on the elevator door reads:
0:3:33|0:3:37|He rolled his eyes in resignation and ran towards the stairwell, starting to climb the stairs.
0:3:37|0:3:40|He grabbed the handrail of the stairs and took big strides upwards.
0:3:40|0:3:42|Before long, he sighed wearily, feeling exhausted.
0:3:46|0:3:49|To save his wife, he could only grit his teeth and persevere.
0:3:49|0:3:52|Upon reaching the floor, he was already exhausted and his limbs felt weak.
0:3:56|0:4:1|He walked to the door gasping for breath, urgently knocking on the door and shouting loudly inside.
0:7:0|0:7:4|[Wang Yue] gradually calmed down as she watched [Ke Jianming] walk away.
0:7:4|0:7:7|She looked at her watch and said disappointedly.
0:7:18|0:7:21|[Wang Yue] muttered to herself and closed the door.
