0:1:6|0:1:11|At this moment, they are conducting physical training around the training ground.
0:1:57|0:2:7|On the training ground is the figure of [Liu Li], with a boyish short haircut, shouting loudly to boost her own morale while practicing moves in the air.
0:2:7|0:2:8|Yang Hui looked at [Liu Li].
0:2:8|0:2:16|Shuihu, Xiaoyue, and Yang Hui held a timer in their hands, looking smugly at Liu Li.
0:2:20|0:2:24|Yang Hui propped up her body, glanced at the timer, and said to [Liu Li].
0:2:25|0:2:29|[Liu Li] stopped practicing vigorously, looking completely exhausted.
0:2:29|0:2:34|Sweat soaked her hair as Liu Li leaned on her knees, slowly making a peace sign with her fingers.
0:3:2|0:3:5|Liu Li pulled Yang Hui and playfully pushed her down with a smile.
0:3:12|0:3:28|The shared path of life has created a deep connection between us two girls who are not quite like girls, there is a kind of emotional bond that doesn't need words to express.
0:3:28|0:3:38|We don't know what she is, but we are filled with surprise as we watch her, becoming more intense day by day.
0:4:1|0:4:4|The two hurriedly scattered a handful of banknotes.
0:4:44|0:4:46|At this moment, [Liu Li] grabbed the money and ran outside.
0:4:51|0:5:4|[Liu Li] ran all the way from the changing room to the venue, clutching those few bills in her hand. However, the glass door of the venue was locked. She pounded on the door with all her might, memories of her childhood flashing through her mind.
0:5:4|0:5:14|At that time, [Liu Li] brought Yang Hui to the doorstep. Yang Hui's mother, with a dark expression, pushed the door open and pulled Yang Hui in, then looked at the boyish [Liu Li] with disdain and said,
0:5:21|0:5:24|[Liu Li] left Yang Hui's house while making funny faces.
0:5:24|0:5:37|Yang Hui's mother then glanced at the profound Liu Li.
0:5:37|0:5:41|Yang Hui completely ignored her mother's scolding, making faces at her while going upstairs.
0:5:44|0:5:55|He pulled Yang Hui's arm, at this moment, [Liu Li] climbed onto the roof.
0:5:55|0:6:2|Yang Hui's mother finished speaking and angrily grabbed a basin to fetch hot water. Yang Hui stood on the side, feeling wronged, and looked up to see [Liu Li] practicing martial arts on the roof.
0:6:11|0:6:17|Yang Hui's mother was about to wipe her daughter's hands, only to find them covered in blood, but Yang Hui remained silent.
0:6:31|0:6:35|The mischievous [Liu Li] is still on the roof watching Yang Hui and her daughter.
0:6:35|0:6:37|When Yang Hui's mother turned around, [Liu Li] stuck out her tongue at her.
0:6:43|0:6:45|Speaking, she splashed a bucket of water at him.
0:6:45|0:6:48|At this moment, a call brought him back to reality.
0:6:49|0:6:51|Liu Li nodded absentmindedly.
0:6:51|0:6:53|The old man looked her up and down and reminded [Liu Li].
0:6:57|0:7:1|[Liu Li] took a few steps back towards the old man, with a hint of numbness in her eyes.
0:7:13|0:7:18|Suddenly, [Liu Li] remembered that she still had to call for the end of training, and ran all the way back to the training ground.
0:7:18|0:7:26|Upon returning to the team, Coach Yang Huichun carelessly asked if [Liu Li]'s mother was present. [Liu Li] firmly shook her head and secretly returned the banknote to her.
0:7:26|0:7:34|Unexpectedly, this scene was caught by the coach's sharp eyes. She fiercely hit Liu Li's hand with the stick in her hand, causing money to scatter all over the ground.
0:7:37|0:7:51|[Liu Li] reluctantly stood in place and followed everyone to start physical training. The students were seen continuously swinging the jump ropes in their hands, then immediately kicking their legs in the air to enhance their personal endurance, balance, and explosive power, sweating profusely.
0:7:51|0:7:58|[Liu Li] and Yang Hui were also among them, their expressions determined, each kick accompanied by a loud roar of anger.
0:7:58|0:8:13|Even though their hair was completely soaked with sweat, the students practiced with each other. Some used their feet, while [Liu Li] kicked one after another with all their might. By the time lunchtime arrived, [Liu Li] saw a long line at the cafeteria and managed to squeeze into a queue full of boys.
0:8:13|0:8:22|At this moment, Liu Li, the boy behind, became unhappy.
0:8:22|0:8:26|[Liu Li] was not convinced, almost raising her fist, while the young man behind her glanced at her.
0:8:32|0:8:35|[Liu Li] proudly jumps around in the line, whistling.
0:8:49|0:8:53|[Liu Li] took the tray, followed closely by Han Bing to serve the dishes.
0:8:53|0:8:56|Liu Li gave her a disdainful look and went to look for Yang Hui.
0:8:56|0:8:59|Just as Liu Li was about to enjoy his lunch, his teammate Chen Jia sat down opposite him.
0:9:27|0:9:32|I never expected the new coach Han Bing to barge into my life like this.
0:9:32|0:9:35|It seems that the unexpected is once again inevitable.
0:9:35|0:9:39|After returning to the dormitory, [Liu Li] lay down next to Yang Hui for a short rest.
0:9:39|0:9:43|Yang Hui gently stroked her head while seemingly pondering something.
0:9:43|0:9:48|Not long after, a foul smell wafted over their heads, and [Liu Li] stood up to investigate.
0:10:6|0:10:12|[Liu Li] gently brushed away the tears on Yang Hui's face as she cried, comforting her tenderly.
0:10:29|0:10:34|Yang Hui pulled out a sharp pair of scissors, leaving [Liu Li] dumbfounded. She took the scissors and looked at Yang Hui.
0:10:39|0:10:43|[Liu Li] was puzzled and gave another glance before continuing to ask.
0:10:51|0:10:57|Yang Hui played with the scissors in her hand while looking at [Liu Li], whose gaze remained fixed on the scissors.
0:10:57|0:11:0|She picked up the scissors, a childhood memory flashed through her mind.
0:11:19|0:11:25|At that time, Yang Hui's mother was singing in the house, and her beautiful singing voice attracted Liu Li.
0:11:25|0:11:34|[Liu Li] knew that Yang Hui's mother disapproved of her, so she could only hold back and sneakily lie on the opposite side of the roof, cautiously sticking her head out to steal glances.
0:11:34|0:11:38|Liu Li's mother stood gracefully at the door, her enchanting voice echoing from inside the house.
