0:2:21|0:2:33|钱老板同样喊道，随后使用计算器，随后记到本子上，对[李国富]说道，
0:2:52|0:3:4|[李国富]继续问道，钱老板一脸无奈的说道，
0:3:21|0:3:30|说罢，便略显得意地看着手中的唢呐，钱老板继续说道，
0:3:41|0:3:47|钱老板抬起数钱的手准备打[李国富]，却不小心绊了一下，钱撒得满地都是。
0:4:20|0:4:29|这时[李国富]突然想起外面的儿子便要出去，钱老板见警察围住了[李国富]便趁机想溜走，但是还是被警察一把抓住了。
0:4:43|0:4:50|与此同时，刚翻出外墙的李发群也被抓住，被按在地上的李发群看向不远处的伙计。
0:4:50|0:4:54|伙计被三名警察死死摁住，痛苦地叫着。
0:4:55|0:5:27|随后被控制的4人便被用手铐铐在羁押车的铁窗上，[李国富]瞪着钱老板，又看了看儿子询问道，李发群摇了摇头，[李国富]点了点头后，踢向钱老板，被打了，钱老板内疚地默不作声，[李国富]生气的问道，钱老板一脸无奈又烦躁地说道，
0:5:29|0:5:44|教训完钱老板后，[李国富]朝前面警察大喊道，见警察没有回应，他转过头安慰儿子李发群，
0:6:3|0:6:26|出完气后，[李国富]觉得后脖颈不舒服，他伸手摸了摸，从毛衣后领掏出在推搡中断掉的墨镜，这时[平娃]看到[李国富]后脖颈流着血，口齿不清的大叫道，爹，流血了，流血了，对面，钱老板内疚地看着[李国富]手中的血，随后他又踢向钱老板，
0:6:34|0:6:43|一旁的伙计也把头低下。到警察局后，警察了解完情况，把钱老板和伙计压了进去。
0:6:43|0:6:47|屋内警察对[李国富]抱歉的说道，
0:7:44|0:7:50|警察笑了笑，随后[李国富]讪讪地说道，
0:8:0|0:8:17|屋内警察听完后尴尬地笑了笑，[李国富]瞪大眼睛迫切地追问道，随后民警没有拒绝将父子送回了家。
0:8:17|0:8:23|在警车后排儿子小心翼翼地环顾着四周，而父亲则激动地在副驾驶望着车前的墨镜。
0:8:23|0:8:32|这时警察开口对[李国富]说道，
0:8:39|0:8:48|民警笑了笑，指着车前的墨镜说道，
0:9:5|0:9:14|[李国富]拿着墨镜仔细看着，随后戴上墨镜转身问后座的儿子，[平娃]点了点头。
0:9:14|0:9:42|[李国富]喜出望外地转过去，看着车前的后视镜，随后他把后视镜掰向自己照了照，他神采奕奕地笑着，不一会儿，警车缓慢经过[李国富]家前小巷中，[李国富]戴着墨镜坐在警车里对路边邻居神气地说道，邻居愣了一下，显摆完后他从车窗里坐进来。
0:9:44|0:9:51|穿过街前小巷，便到了[李国富]住的院子里，车灯缓缓扫过正在屋外搬东西的邻居。
0:9:52|0:9:55|警车停稳后，父子二人从车上下来。
0:9:55|0:9:58|[李国富]摘下墨镜向民警告别，
0:10:4|0:10:13|心情激动地[李国富]举了下墨镜和警察示意感谢。和警察道完别后，[李国富]又戴上墨镜朝屋里走去，隔壁邻居看到这情况后，冲[李国富]喊道，
0:10:31|0:10:51|说完他得意地回到屋子里，[平娃]从炉子上拿起烧好的水壶给他俩倒洗脚水，而[李国富]则是躺在床上举着新墨镜仔细端详着，从镜片到眼镜腿，甚至每一颗螺丝，他都反复看着，就像是小孩子得到自己期盼已久的玩具一样。
0:10:51|0:11:11|[平娃]倒好洗脚水，看着床上摆弄墨镜的父亲提示他洗脚，随后[李国富]又戴上墨镜将脚伸入洗脚盆当中，边泡脚边对儿子说道，
0:11:14|0:11:23|[平娃]面无表情的应和道，
0:11:27|0:11:31|[平娃]不情愿地坐着，没有说话。见到[平娃]不说话，
0:11:31|0:11:39|[李国富]从床上坐了起来，他卸下墨镜表情严肃地拍了一下[平娃]的胳膊，儿子见状后勉为其难地说道，
0:11:40|0:11:48|[李国富]不满意地说，[平娃]努力学着，
0:11:55|0:12:5|[李国富]失望地又躺回床上，[平娃]回头看了看[李国富]又面无表情地转过发呆。爷俩没有说话继续泡着脚。
0:12:54|0:13:2|平娃在一旁拧着瓶子看着二人，
0:13:20|0:13:27|随后刘桂兰从包里一边掏钱，一边对[李国富]说道，
0:13:41|0:13:48|[李国富]看着刘桂兰远去的背影，心中颇有感慨，这时在一旁的邻居说道，
0:14:4|0:14:27|到了晚上，[李国富]骑着装了发动机的三轮车带着平娃，爷俩开心地笑着往回走。这时发动机突然熄火了，[李国富]使劲拧着油门也没有反应，平娃见状习惯性地下车一路小跑推着，[李国富]负责在车上不停地拧着油门，试图重新点燃发动机。
