0:1:7|0:1:12|The camera slowly pans across, the beautiful scenery of the water town unfolds like a scroll.
0:1:12|0:1:20|In the distance, the village appears particularly peaceful, with a few children playing in the pond, while adults gather at [Wang Zhao]'s house to play mahjong.
0:1:20|0:1:25|At the card table, the person facing [Wang Zhao] spoke up.
0:2:0|0:2:2|Relatives visit with children and gifts.
0:2:17|0:2:21|To entertain the relatives who came from afar, [Wang Zhao] started rowing the boat again.
0:2:21|0:2:25|He plans to catch some more fish to bring home for the dinner party.
0:2:25|0:2:36|On the way to fish by paddling the boat, [Wang Zhao] and the neighbors greet each other.
0:2:36|0:2:38|[Wang Zhao] returned to the village after catching the fish.
0:2:38|0:2:41|At this moment, Wang Zhao suddenly ran over in a hurry, shouting.
0:2:57|0:3:18|After getting off the boat, the two hurried to the scene. By the pond, a crowd had already gathered. [Wang Zhao] went forward to check the situation, and found that it was a child who had been in the pond where water was stored before.
0:3:18|0:3:21|[Wang Zhao] turned the child over and patted firmly and gently.
0:3:41|0:3:48|At night, the old village chief celebrated at Wang Zhao's home with baijiu, and he was the first to speak.
0:5:28|0:5:30|Amidst the laughter and chatter, dinner came to an end.
0:5:30|0:5:37|Early the next morning, [Wang Zhao] was surprised to find countless dead fish floating in the pond in front of the door when he got up to wash up.
0:5:37|0:5:45|Looking at the muddy pool water and countless fish stirring up white mud, [Wang Zhao] was filled with resentment.
0:5:45|0:5:51|Early risers noticed this strange phenomenon and began to gather together to help [Wang Zhao] retrieve the dead fish from the pond.
0:5:59|0:6:4|The angry villagers all crowded into the village chief's house, wanting to seek justice for the matter.
0:6:22|0:6:26|Unsatisfied with the results, the group angrily got into the car and drove towards the chemical plant.
0:8:49|0:8:56|At this moment, Wang Zhao also rode over on a bicycle.
0:8:56|0:9:0|The village chief scolded the crowd, calming the situation down.
0:9:12|0:9:21|At the persuasion of the village chief, the matter was left unresolved. Reluctantly, everyone pushed the cart away, with many unwilling to let the chemical plant off so easily.
0:9:21|0:9:26|On the way back to the village, the villagers started gossiping again.
0:9:46|0:9:49|The village chief took three people to the township to report the issue.
0:9:49|0:9:52|In the village chief's office, the atmosphere was particularly solemn.
0:9:52|0:9:53|The village chief spoke.
0:10:7|0:10:10|After listening to the villagers' grievances, [Wang Zhao] also felt helpless.
0:10:10|0:10:29|After a moment of silence, [Wang Zhao] picked up the phone on the table and called the health center, trying to solve the current problem for the villagers.
0:10:29|0:10:32|The village head and the villagers came to the water's edge to collect samples for inspection.
0:10:39|0:10:43|During the sampling process, [Wang Zhao] squatted by the water to inspect it.
0:10:46|0:10:51|The village chief paused for a moment, stood up, and turned to the villagers.
0:11:20|0:11:32|The crowd left satisfied with the answer, only [Wang Zhao] continued to paddle the boat, fishing for dead fish in the reeds. This pond used to be everything in his life, but now he felt lost.
0:11:32|0:11:39|He sent all the dead fish he had worked hard to salvage to the entrance of the chemical plant, as if silently expressing his anger.
0:11:44|0:12:1|After speaking, [Wang Zhao] set down the dead fish and turned to leave. He once again busied himself in the pond without a moment's rest, just like before. Every day, he tirelessly caught fish on the boat, but this time it was not for a living like before, but to vent the bitterness in his heart.
0:12:1|0:12:20|The pond that the villagers rely on for survival has been polluted by the discharge from the chemical factory. [Wang Zhao] couldn't bear this anymore. This time, he scooped up a basket full of dead fish again. Just like before, he took the dead fish to the entrance of the chemical factory. The security guard turned around and saw him bringing another basket of dead fish.
0:12:22|0:12:27|But [Wang Zhao] turned around and walked away without saying a word this time.
0:12:27|0:12:34|Thus, Wang Zhao tirelessly shuttled back and forth between the pond and the chemical factory, net after net, basket after basket.
0:12:35|0:12:45|And this time, even the factory director wanted to see for himself what this person was up to.
0:12:45|0:12:51|After a few more days passed, there was still no news in the village. This time, even the villagers couldn't sit still.
0:12:51|0:12:56|Wang Zhao summoned everyone with great fanfare, wanting to see if the village's problems could be solved.
0:13:44|0:13:52|Not long after, [Wang Zhao] rode his bike to the mayor's office in a hurry, anxiously asking the mayor how the problem had been resolved.
0:14:36|0:14:41|The village chief waited outside the office, while the township head was busy on the phone.
0:14:41|0:14:47|Before long, Mayor Wang Zhao nodded repeatedly with a look of joy, indicating that they had reached an agreement on certain matters or plans.
0:14:49|0:15:2|The village chief hung up the phone, tidied up quickly, and went out to greet the old village chief who was waiting outside the door.
0:15:2|0:15:14|The two of them left together, and the scene shifted to a group of children playing in the pond. It seemed that the pollution from the chemical factory had not had a significant impact on people. The gloom of the dead fish from before had disappeared from the children's minds.
0:16:29|0:16:33|Another morning, [Wang Zhao] went out to wash up as usual.
0:16:33|0:16:38|This time, he hesitated for a moment in the courtyard, then turned and walked quietly towards the edge of the pond.
0:16:43|0:16:53|Life seems to have returned to the previous scene, with people gathering around the pond again, chatting and laughing. The pond is still the center of everyone's life.
0:17:11|0:17:20|Two of them, one wearing a blindfold, plunged into the water, watching the rippling surface. It was unclear who would emerge victorious in this competition.
0:17:20|0:17:36|Before long, the challenger surfaced on the water first, while everyone was still searching around for the figure of [Wang Zhao].
0:17:36|0:17:37|After the game, [Wang Zhao] returned home.
0:18:44|0:18:47|On this day, [Wang Zhao] noticed a commotion on the shore while fishing.
0:18:53|0:18:58|He didn't have time to think too much, quickly putting down what he was doing and following the shouting all the way.
0:18:58|0:19:5|Upon arriving at the scene, Wang Zhao found that this time two people had fallen into the water simultaneously, which undoubtedly greatly increased the difficulty of the rescue.
0:19:5|0:19:9|In a moment of urgency, [Wang Zhao] steadied the boat and grabbed the nearby fishing net, then threw it down.
0:19:9|0:19:13|After trapping the two with a fishing net, [Wang Zhao] began to drag them towards the side of the boat.
0:19:17|0:19:29|The two people who fell into the water were eventually rescued with the efforts of [Wang Zhao] and others. After getting on the boat and taking a closer look, it turned out that one of the people who fell into the water was Director Lu from the chemical factory. After regaining consciousness, Director Lu quickly thanked the people who saved him.
0:19:34|0:19:37|[Wang Zhao] said, then turned and got off the boat.
0:19:37|0:19:41|After returning home, Director Lu's family prepared a sumptuous dinner.
0:20:6|0:20:7|This is Director Lu's home.
0:20:48|0:20:50|He has been living for more than ten years, in which year did he not save one or two people?
0:21:59|0:22:4|Wang Zhao had no choice, while at this time, there was a different scene in the factory director's home.
0:24:3|0:24:7|[Wang Zhao] slowly walked forward, surrounded by the crowd.
0:24:7|0:24:13|He walked with hesitant steps, a bit shy, but little did he know that he would be tripped by the steps in the end, causing laughter from the crowd.
0:24:31|0:24:35|The one presiding over the county government meeting is Director Zhang, who had dinner with Director Lu.
0:24:35|0:24:42|[Wang Zhao] from Xiaogang Village, is like a traditional fisherman casting his net.
0:24:51|0:24:57|At this moment, [Wang Zhao] happened to be in town looking for a fellow villager to cut his hair.
0:25:26|0:25:29|At the same time, at the county government meeting, everyone was still deadlocked.
0:25:36|0:25:42|It is explained that he still lacks the spirit of self-sacrifice to save others deep down.
0:26:2|0:26:5|It's all about courageous actions.
0:26:5|0:26:9|He has met quite a few people.
0:26:31|0:26:32|Wang Zhao is publicly commended.
0:26:42|0:26:49|After the county government officials finished their discussion, they ultimately decided not to commend [Wang Zhao] for his courageous proposal.
0:26:49|0:26:55|At this moment, [Wang Zhao] was still at home with his wife Meilian, completely unaware of what was about to happen.
0:26:55|0:27:1|On this hot summer night, Wang Zhao and his wife lay quietly in bed, with his wife fanning herself beside him.
0:27:2|0:27:13|The slight breeze made Wang Zhao turn his back, the two remained silent, but his wife secretly smiled, as if she had thought of something, her smile becoming more and more joyful, causing Wang Zhao to turn back.
0:27:35|0:27:38|Marianne covered her face shyly while laughing.
0:27:38|0:27:45|Slowly, the gentle laughter rang out like a clear bell.
0:27:45|0:27:47|[Wang Zhao] noticed something unusual and turned to ask.
0:27:56|0:28:0|Mellian turned over and hugged the sleeping Wang Zhao beside her.
0:28:22|0:28:30|Wang Zhao and [Ma Dongmei] spent the night together like newlyweds. The next day, at the awards ceremony, the venue was packed with people, and many media reporters rushed over upon hearing the news.
0:28:58|0:29:4|And among this group of role models, everyone is wearing silk with the words "Acting bravely for a just cause" printed on it.
0:29:4|0:29:9|The meeting has officially started, and it seems like everything has been arranged properly.
0:29:9|0:29:12|Only [Wang Zhao] was sitting at the very edge, and she wasn't wearing anything.
0:29:14|0:29:18|Wang Zhao noticed something unusual and got up to leave.
0:29:18|0:29:25|But when he turned and walked towards the villagers, he was stopped.
0:29:43|0:29:48|The style of Wang Zhao as a new era farmer.
0:30:2|0:30:10|Later, during the filming by the media reporters, [Wang Zhao] also entered the frame, but the reporters had doubts about [Wang Zhao]'s identity.
0:30:23|0:30:31|Faced with the demands of the reporters, [Wang Zhao] didn't know how to explain, so he just left with a smile. He didn't go far, just squatted down on the side.
0:30:31|0:30:35|After the journalist left, he returned to his seat and sat down.
0:30:35|0:30:42|All the villagers of Xiaogang Village, including [Wang Zhao] himself, firmly believe that [Wang Zhao] should be the role model for heroes.
0:30:42|0:30:47|The reporter walked slowly over for a second reshoot, once again capturing [Wang Zhao] without wearing anything.
0:30:48|0:30:54|The reporter raised his hand this time, gesturing to the police officers behind maintaining order.
0:30:54|0:31:14|The police officer on the scene quickly approached and questioned Wang Zhao about the situation, asking him to leave.
0:31:14|0:31:16|Wang Zhao remains unmoved by this.
0:32:6|0:32:22|Upon hearing this, [Wang Zhao] was completely stunned, prompting the old village chief to quickly step forward, using both hands to support him and leading him away from the scene.
0:32:22|0:32:29|The villagers of Xiaogang Village all hung their heads in humiliation, the award ceremony was in full swing, but the villagers couldn't be happy at all.
0:32:45|0:33:0|Watching the models holding flowers in their hands, everyone felt uneasy in their hearts.
0:33:0|0:33:5|[Wang Zhao] returned home and started drinking alone, while Meilian sat at the door wiping away tears.
0:33:5|0:33:9|At this moment, the village chief suddenly visited. The couple greeted the village chief and invited him to sit down.
0:33:18|0:33:26|Mellian added a pair of chopsticks for the village chief, poured wine, and took the opportunity to start complaining.
0:33:26|0:33:30|Mellian stood beside the village chief and whispered.
0:34:16|0:34:20|After leaving Wang Zhao's home, the old village chief once again arrived at the mayor's office.
0:34:20|0:34:26|Wang Zhao didn't know how to speak up this time, standing outside the door hesitantly, only able to keep looking inside.
0:34:26|0:34:32|The not-so-subtle movements still caught the attention of the village chief, who warmly welcomed him in.
0:36:15|0:36:22|The old village chief who received the reply hurried back to the village and found [Wang Zhao] fishing, informing him of the uplifting news.
0:36:39|0:36:45|The situation became clear, and the two of them couldn't contain their joy.
