0:0:46|0:0:50|That day, Prince Bei was rushing to the Divine Mechanism Camp in great haste.
0:0:59|0:1:5|Prince Bei, trusted by Empress Dowager Cixi, wielded great power at the time. He promoted the construction of railways and factories, as well as the establishment of a modernized army.
0:1:27|0:1:33|Prince Bei hurriedly ran in the palace, followed by four maids holding the Six Harmonies Unified Hat.
0:1:35|0:1:41|Following closely behind. Just as they turned the corner, a large, peculiar-looking mechanical aircraft flew past the prince's head.
0:1:41|0:1:50|The flying machine passed by, with an extremely domineering presence. Its mortise and tenon structure seamlessly integrated with steel bars, but the most eye-catching feature was its flamboyant wings that resembled a phoenix.
0:2:3|0:2:11|Prince Bei looked at the imposing aura of the sky like a dominant force, with a slight smile on his lips, filling his heart with confidence.
0:2:11|0:2:17|He stopped his hurried pace and carefully observed the majestic wings soaring freely above the Forbidden City.
0:2:26|0:2:36|Outside the village of [Chenjia Gou], in the distance, on the war machine Troy that had already been destroyed, there lay a groom in a silk jacket and a six-harmony hat.
0:2:36|0:2:42|Alone lying on the ruins on this joyous day, this person is not simple.
0:3:55|0:4:2|Yang Luchan, who fell from the ruins, rushed to the hall non-stop to attend the wedding with Chen Yuniang.
0:4:2|0:4:14|On the left and right of the main hall sat the elders of Chen Family Village, while seated at the top of the hall were Chen Yuniang's father Chen Changxing and the highly respected San Shuzu. However, at this solemn wedding ceremony, Yang Luchan, who was naturally a bit foolish, looked around in confusion.
0:4:15|0:4:22|Even with the reminder from the disciples of the [Chen Family], he remembered to kneel before the two elders.
0:4:37|0:4:46|The distant shout shattered the original peace, and everyone looked over to see two figures outside the door, wearing masks and straw hats, slowly walking towards the hall.
0:4:46|0:4:56|Halfway through, the man suddenly flung his bamboo hat back into the hall. In the instant the hat left the man's hand, it spun at high speed like a flying knife, as if it could cut through everything.
0:4:56|0:5:3|As the groomsman [Chen Youzhi] saw the situation, he took the lead and kicked the hat from the roof into the copper bell below.
0:5:4|0:5:10|Chen Youzhi finished speaking and swiftly flew out of the hall, leaping into the air at the steps and arriving in front of the man.
0:5:10|0:5:19|[Chen Youzhi] saw the man who remained unfazed with his head down, so he naturally didn't hold back and threw a punch directly at his face. Strangely, the man seemed to know [Chen's] moves inside out.
0:5:19|0:5:36|Chen Youzhi had not yet made his next move when he used his right foot as a pivot to lean back and avoid the attack. He then blocked Chen Youzhi's arms with both hands and said,
0:5:36|0:5:42|[Chen Yuniang] heard her elder brother and then tore off the red veil and ran out.
0:5:48|0:6:2|Chen Zaiyang, the eldest son of the Chen family, saw San Shuzu who had come specially. His eyes gradually moistened, and he couldn't care about catching up with his siblings. He walked through the crowd, went straight to San Shuzu, clasped his hands in front of him, bowed deeply, and paid his respects.
0:6:5|0:6:11|After bowing to [San Shuzu], [Chen Zaiyang] slowly shifted his gaze to his father, who was still sitting grim-faced at the head of the hall.
0:6:11|0:6:20|The elders in the hall were all discussing when they saw Chen Zaiyang, but Chen Changxing, upon seeing his long-lost eldest son, showed no signs of joy or reunion, instead maintaining a stern expression.
0:6:20|0:6:28|[Chen Zaiyang] had a thousand words to say, but now, seeing his stern father, he didn't know where to start. After staring at each other for a long time,
0:6:28|0:6:37|[Chen Changxing] turned and walked towards the room. Faced with this situation, [Chen Zaiyang] obviously did not expect it, standing still in confusion. At this moment, outside the door, [Brother Tofu] shouted,
0:6:46|0:6:58|Just after the little incident, the groom [Yang Luchan] has already finished off the roast chicken on the table. At night, the Chen family's valley was brightly lit, with fireworks going off, as lively as the New Year.
0:6:58|0:7:7|At the banquet, [San Shuzu] warmly entertained everyone.
0:7:46|0:7:55|It seems that [Chen Zaiyang] and his wife noticed each other's unusual behavior, while on the rooftop, [Chen Changxing] and [Chen Yuniang] were watching [Yang Luchan] inside the house.
0:8:44|0:8:52|Chen Changxing sighed as he looked at his strong-willed daughter, and said very tactfully,
0:9:51|0:10:3|[Chen Changxing] finished speaking, then gracefully leaped down from the high eaves like walking on water. Following that, [Chen Yuniang] entered the room, snatched the leaves from [Yang Luchan]'s hand, and tapped his head, but [Yang Luchan] just laughed out loud.
0:10:14|0:10:20|[Yang Luchan], although looking puzzled, obediently knelt in front of [Chen Yuniang], who then established the family rules.
0:11:7|0:11:16|Just as [Chen Zaiyang] was pondering with his head down, he suddenly sensed movement outside the door. Before [Chen Zaiyang] could even get up, [Jin Yuner] had already silently arrived at the window like a ghost.
0:11:32|0:11:42|After seeing that there was no danger, he slowly closed the window. But at that moment, a dark figure flashed outside. Seeing this figure, [Jin Yuner] immediately hid behind the door pillar and drew the Indian soft sword hidden in his sleeve.
0:11:46|0:11:57|Upon hearing it was [Chen Youzhi], [Chen Zaiyang] lightly patted [Jin Yuner]'s shoulder to signal her to stay calm, then opened the door.
0:12:9|0:12:16|Upon [Chen Youzhi]'s late-night visit, [Chen Zaiyang], after much contemplation, decided to explain the reasons to him.
0:12:43|0:12:52|The tenth ancestor [Chen Suole], although old with gray hair, effortlessly sent the young and strong Zhou Bin of the Tiger Claw Sect flying several meters away.
0:13:48|0:13:58|The crazy monk, with his qi gathered in his dantian, stood in front of the door, a scar on his head emitting a golden light. His Buddha energy surrounded him like a golden bell, and with just this move, he severely injured several disciples of the Chen family.
0:15:55|0:16:3|[Chen Zaiyang] remained silent after hearing this, his serious expression making [Chen Youzhi] nervous.
0:16:58|0:17:5|[Chen Zaiyang] looked at the eager [Yang Luchan] who was seeking martial arts guidance, and said as if he had a plan,
0:17:12|0:17:22|[Chen Zaiyang] is seen performing large and exaggerated movements, standing on one leg with his body almost parallel to the ground.
0:17:24|0:17:30|After speaking, [Chen Zaiyang] continued to demonstrate, his two legs standing on the ground like wooden stakes.
0:17:31|0:17:38|Above the knees, he swayed like a dragon. After the demonstration, [Yang Luchan] exclaimed in admiration,
0:18:2|0:18:10|At this moment, [Chen Zaiyang] slowly walked up to [Yang Luchan], but instead of helping him, he just picked up [Yang Luchan]'s hat and put it back on his head.
0:18:12|0:18:14|Later, [Chen Zaiyang] turned away contemptuously and left.
0:18:14|0:18:24|At this moment, [Yang Luchan], with his arms captured and kneeling on one knee, had a fierce look in his eyes, filled with anger.
0:18:25|0:18:34|In the hall, [Chen Ersao] is showing [Jin Yuner] around the Chen family disciples practicing boxing. [Jin Yuner] gestures and asks [Chen Ersao] why she doesn't learn boxing.
0:18:40|0:18:47|Looking up at the bronze bell above the hall again, [Chen Ersao] saw it and explained,
0:19:3|0:19:13|In the narrow path of Chen Family Valley, [Yang Luchan] broke through a thick stone wall in pursuit of the three who had just captured him. Although [Chen Youzhi] managed to avoid [Yang Luchan]'s attacks, the momentum of [Yang Luchan] continued to shake him.
0:19:13|0:19:19|At the same time, [Jin Yuner] in the hall, seeing no one around, leaped clean and landed neatly on the bronze bell.
0:19:19|0:19:25|In the alley, [Chen Youzhi] was so intimidated by [Yang Luchan]'s momentum that he lost all his fighting spirit and turned to run.
0:19:25|0:19:35|Back in the hall, just as the bronze bell was still swaying, a figure with hands behind slowly walked out from the room. Meanwhile in the village, Yang Luchan didn't catch up with Chen Youzhi, but managed to catch Brother Tofu.
0:19:36|0:19:46|After a brief exchange, Yang Luchan kicked Brother Tofu to the ground, but instead of finishing him off, Yang Luchan let out a roar and chased after the mahjong sister ahead.
0:19:46|0:19:53|[Yang Luchan] was arrogant and unreasonable all the way, causing chaos wherever he went, and finally found the fleeing Mahjong Sister in the market.
0:19:53|0:20:6|Seeing the situation, [Ma Jiangjie] quickly picked up a wine jar from the side and used internal force to smash towards [Yang Luchan]. However, all of this couldn't stop [Yang Luchan]'s steps. Just as [Yang Luchan] was about to punch [Ma Jiangjie], a villager with a wooden stick in hand viciously struck him from behind.
0:20:8|0:20:15|The strike did not take down Yang Luchan, instead putting himself in danger. Yang Luchan lifted the villagers high, glaring angrily at the surrounding crowd.
0:20:17|0:20:25|Just as [Yang Luchan] was about to lose his mind and throw the villagers down heavily, a dazzling light shone into his eyes.
0:20:25|0:20:38|Just at that moment, the Three Flowers on Top malfunctioned, and [Yang Luchan] slowly closed his eyes. His nostrils still sprayed two streams of blood as before, and then he fainted on the ground. The villagers in his hands were lucky to escape unharmed.
0:20:39|0:20:45|On the other side, in a bustling street outside the north gate of Tianjin, many workers were moving goods of all sizes.
0:20:45|0:20:52|The coming and going merchants were endless, of course, there were also soldiers patrolling in line. On this outer street, a tall building stood out prominently.
0:20:52|0:20:58|Although sealed off, it is by no means a place to come and go casually based solely on its momentum.
0:20:58|0:21:5|At this moment, a man in front of the gate blatantly ignored the law, tore off the seal, then pried open the chain and pushed the door open.
