0:1:45|0:1:50|The [Hei Yu] tribe lives in the city of Tian Du.
0:2:18|0:2:25|In the city of Tiandu, the young [Ni Kongkong] is hiding in a narrow cave, using a fence to block the entrance, nervously looking out.
0:2:42|0:2:47|An older child, a few years older than the others, shooed everyone away and spoke to [Ni Kongkong].
0:3:9|0:3:17|[Ni Kongkong] slowly moved away from the fence, looking timidly at the unfamiliar big child in front of the cave.
0:3:17|0:3:21|The older child managed to trick [Ni Kongkong] out.
0:3:21|0:3:26|At this moment, a child unexpectedly pulled out a dagger and slid it towards the glowing palm of [Ni Kongkong].
0:3:29|0:3:40|One afternoon many years later, the adult Ni Kongkong sat on the eaves of Tian Du City, looking at the still glowing palm of his hand, reminiscing about the painful memories of his childhood.
0:3:40|0:3:47|At this moment, his pet Ouka hopped around him, gesturing excitedly. [Ni Kongkong] glanced over and said helplessly.
0:3:57|0:4:3|[Ni Kongkong] said, then with Ou Ka, leaped off the roof and arrived at the busiest street in Tiandu City.
0:4:3|0:4:13|The wide street was crowded with people coming and going, and the merchants along the street were doing brisk business. Traders who had heard of it wandered between the various shops.
0:4:55|0:5:4|At this moment, [Ni Kongkong] threw a piece of gold to him.
0:5:4|0:5:8|As soon as the boss turned around, [Ni Kongkong] deftly stole the gold back.
0:5:26|0:5:33|[Ni Kongkong] instantly recalled his son's ordeal, pulled out a dagger, and stabbed the burly man to the ground.
0:5:33|0:5:37|Upon standing up, he found himself surrounded by several thugs wielding machetes.
0:5:37|0:5:45|In the jianghu for many years, [Ni Kongkong] remained calm and composed. He threw an iron chain to the ground, and Ouka immediately grabbed the chain, curling up into a ball.
0:5:46|0:5:49|[Ni Kongkong] actually scattered a few people from the Ouka.
0:5:49|0:5:56|The hard-shelled Ni Kongkong is not suitable for any weapon, like a hammer mercilessly knocking down several people to the ground.
0:5:59|0:6:2|[Ni Kongkong] saw the situation was not good, so he released a mist bomb and prepared to escape.
0:6:2|0:6:7|Ni Kongkong was still blocked by the King in the sky.
0:6:7|0:6:12|After tying up [Ni Kongkong], the thug's boss walked up to him with the fake goods in hand.
0:6:50|0:6:55|Ni Kongkong had no choice but to take a risk.
0:7:19|0:7:27|When night fell, [Ni Kongkong] used lightness skills to arrive on the rooftop of the Prince's mansion, searching for the right moment.
0:7:40|0:7:48|At this moment, the Prince's Mansion was already filled with ice sculptures, and the courtyard was full of rare treasures beyond count. Even top-grade jade and agate were nothing special here.
0:7:48|0:7:51|At this moment, the chief steward in the mansion shouted to everyone,
0:8:31|0:8:40|The prince stepped down and saw a seahorse emitting a strange light in the crystal stone, with a head resembling a dragon's head and two pairs of wings behind it.
0:8:40|0:8:46|Although the city of Tian Du is full of rare treasures, there is no second one like this in the world.
0:8:46|0:8:56|While the Prince was still basking in the admiring gazes of the crowd, completely unaware, [Ni Kongkong] and Ou Ka had already stealthily arrived at the underground palace in the Prince's mansion where treasures were stored.
0:8:57|0:9:1|Ni Kongkong looked at the countless treasures in front of her, her heart blooming with joy.
0:9:1|0:9:6|But upon hearing the footsteps of the guards patrolling, he quickly hid Ou Ka in the rafters.
0:9:6|0:9:9|But the guard with a keen sense of smell still sensed something unusual.
0:9:14|0:9:19|The guard thought he had misheard and didn't pay attention, then turned around to leave.
0:9:19|0:9:25|Unexpectedly, as soon as he turned around, he was pierced in the head by the assassin [Hei Yu] with a dagger resembling a bat's face.
0:9:25|0:9:32|Immediately, the more terrifying [Lei Bao] wielded a huge iron axe and split the surrounding guards in half one by one.
0:9:32|0:9:36|But as soon as they stepped into the entrance of the underground palace, they were instantly dealt with by the powerful [Feng Xiao].
0:9:44|0:9:50|The dying guard lunged at [Feng Xiao] while [He Ying] simultaneously threw a dart towards him.
0:10:45|0:10:50|The smell of Eurcoffee's fart gradually spread from the rafters to below.
0:11:0|0:11:4|At this moment, the lanterns in the Prince's Mansion were mysteriously blown out by the wind.
0:11:4|0:11:6|[He Ying] saw the situation and smiled charmingly.
0:11:12|0:11:15|[Ni Kongkong] followed the group out after seeing them leave.
0:11:15|0:11:17|The queen at noon spoke to [Prince].
0:11:19|0:11:22|[Prince] continues to introduce while holding the Eye of the Sky.
0:11:42|0:11:52|The master of the language family [Xue Lie] had just finished speaking when he suddenly appeared in front of the [Prince]. At this moment, the three of [Feng Xiao] also arrived in time, and the playful [Prince] chuckled at the scene.
0:12:1|0:12:6|[Xue Lie] sneered coldly, then suddenly extended six damaged bones from his back.
0:12:6|0:12:12|Soon after, [Hei Yu] also began to transform from his bones, revealing a pair of incredibly large wings in front of everyone.
0:12:12|0:12:17|Unexpectedly, [Xue Lie] is using the shoulder bone on his wings to stab the guests in the abdomen.
0:12:17|0:12:22|In an instant, the guests desperately scattered and fled, but the ruthless [Xue Lie] stabbed each of them to death.
0:12:23|0:12:31|At this moment, [Prince] crawled on the ground with the treasure in hand, ready to escape. Unexpectedly, [Xue Lie] suddenly swung and threw the queen's body in front of him.
0:12:31|0:12:36|[Prince] Although cynical, he stood up in anger as he watched his lover die in front of him.
0:12:36|0:12:44|Unfortunately, the power gap between the two was too great. [Xue Lie] pierced the [Prince]’s scapula with bone spurs and firmly pinned him to the wall.
0:12:44|0:12:47|[Xue Lie] reached out and took the Sky Eye from the hands of the Prince, saying.
0:13:2|0:13:8|The next morning, the general who learned of the matter hurriedly rode through the bustling streets and headed straight to the palace of the [Emperor].
0:13:8|0:13:11|The [Emperor] is seen near the palace, towering a hundred meters high.
0:13:11|0:13:14|Set against the backdrop of the mountain peaks, the momentum appears particularly extravagant.
0:13:14|0:13:21|The general entered the city, waving flags on a fast horse, walking alone through the small path, then taking a wind ladder like an elevator to finally arrive in front of the [Emperor].
0:14:15|0:14:21|[Yang Zhenhu] heard the order, listened to his subordinates, and pushed open the gates of the Prince's mansion, only to see corpses scattered everywhere.
0:14:21|0:14:24|At this moment, the henchmen noticed that [Hei Yu] was quietly following.
0:14:40|0:14:46|Facing the push from Tiger Tooth, [Fei Long] naturally didn't say a word, and with a few moves, he put his own people on the shrimp ground.
0:15:20|0:15:27|At the same time, [Ni Kongkong], who learned the news in the underground palace that day, had already arrived at the Spirit Mountain with Ou Ka ahead of time.
0:15:27|0:15:32|On this eerie mountain stands a huge stone sculpture, with a cave at its feet.
