0:1:45|0:1:50|镜头聚焦到一栋居民楼，跟随镜头往里走，就来到了[郝连生]家。
0:1:50|0:1:56|墙上挂着他和老婆眉眉的结婚照，两人笑容甜蜜，满脸幸福。
0:1:56|0:2:0|时间还早，照片上的人此刻正在熟睡。
0:2:24|0:2:31|可是有些潜在性的烦恼，就会不知不觉地走进你的生活里。
0:2:31|0:2:37|6点半，闹钟准时响起，[郝连生]迷迷糊糊地摸到闹钟，顺眼惺忪地关掉闹铃。
0:2:37|0:2:44|他翻身发现[梅梅]的手搭在他的脑袋上，他拉过之后轻轻吻了一口，便起身下床。
0:2:44|0:2:53|时间还早，但城市中的人们已经开始忙碌，有人在早市挑选蔬菜，有人着急上班，有人则去吃早饭，大街上十分热闹。
0:2:53|0:2:56|这时，[郝连生]的儿子[郝正]穿过街道。
0:2:56|0:3:0|静止走进德正街市，他身穿警察制服，身板端正。
0:3:0|0:3:6|家中，[郝连生]正在刷牙洗脸，他用毛巾抹去嘴角的牙膏膜，还顺便照了一下镜子。
0:3:34|0:3:39|[郝连生]进门回家，正在刮胡子的[郝连生文生]走出来。
0:5:9|0:5:10|他说。
0:5:35|0:5:49|[郝连生]穿好西装，夹上公文包，准备去上班，走到门口又停住脚步。
0:5:49|0:5:53|说完，他自信地去上班，[小敏]这时从卫生间里走出来。
0:6:3|0:6:6|此时，[郝连生]正在搬自行车下来。
0:6:51|0:7:3|[郝连生]满脸不服气，他抱怨地踢开脚灯子，利落地翻上车，将邻居的话抛至脑后，街道上车来车往，自行车道中却只有[郝连生]一人。
0:7:3|0:7:10|他笑嘻嘻地蹬着车，没有因此感到奇怪，他看了眼手表，加快脚下的频率向公司蹬起。
0:7:10|0:7:16|不一会儿，[郝连生]就到达单位，他推着车和门卫打招呼，7点55分准时踏进大楼。
0:7:17|0:7:22|他笑容憨态可掬，走进办公室和同事问好，同事也都纷纷回应。
0:8:4|0:8:8|众人都觉得扫兴，[郝连生]面色上有点不服气。
0:8:26|0:8:29|董事会上，每个人都各怀心思，表情各异。
0:9:40|0:9:52|这时，秘书[华华]走进会议室，站到王总身边，董事长的目光瞬间被他吸引。
0:9:52|0:9:56|身体虚弱的王总艰难地起身。
0:9:56|0:10:2|话还没说完，王总就剧烈咳嗽起来，[华华]赶紧扶他坐下，并把药递给他。
0:10:24|0:10:29|今天我们提名总经理候选人，大家好像心里有数了，似乎非中副总默数。
0:11:35|0:11:41|电视开始播放，[向朱旦]一副看好戏的表情，王总则是轻拂眼睛，满脸好奇。
0:11:41|0:11:50|画面中，身材娇好的[华华]身穿紧身吊带裙，拿着文件找[郝连生]签字，他故意往[郝连生]身上贴，但都被他刻意躲开。
0:11:50|0:11:59|但[华华]还是若有若无地挨着他，[郝连生]最后逃也似的离开。
0:11:59|0:12:9|向[朱旦]欣慰一笑，董事长自残行贿地垂下眼，电视画面切到办公室，[华华]穿着同样的衣服在这里找文件。
0:12:9|0:12:13|周副总和他越挨越近，最后竟直接将他拢入怀中。
