0:1:27|0:1:31|In the sky above the city, a group of white doves flies by, marking the beginning of the film.
0:1:33|0:1:52|Against the backdrop of a building with a flying white dove, a female anchor on the electronic screen is broadcasting the news.
0:1:52|0:1:57|Following a feather floating down, two security guards run out of the building, chasing a thief.
0:2:6|0:2:13|In the middle of the road, five cars are waiting. In the front car, a man in a suit looks serious.
0:2:13|0:2:21|He is [Ou Jian] on the cover of Time Weekly on the electronic screen.
0:2:21|0:2:23|He picked up the phone next to him and put it to his ear.
0:2:26|0:2:32|[Ou Jian] closed his eyes in resignation, his hands resting on the steering wheel.
0:2:32|0:2:44|[Ou Jian] pursed his lips, turned his head away from the phone, blinked, then fiercely threw the phone on the passenger seat. He reached out to loosen his silent tie, opened his hand, pressed his index finger against his brow, and squeezed it hard a few times.
0:2:45|0:2:50|After standing up slightly, [Fei Xin] placed his index finger and thumb on his forehead and pressed down.
0:2:50|0:2:58|Suddenly, he noticed the sound of the horn behind him, raised his head abruptly, and glanced sideways at the traffic light above, which was already showing green.
0:2:58|0:3:4|He quickly shifted gears, but found that he couldn't move the gear lever. He pushed hard twice, but it remained stuck in place.
0:3:4|0:3:11|He repeatedly turned the key, but the car didn't respond for a while. He hit the steering wheel hard, the sense of urgency making sweat beads appear on his face.
0:3:12|0:3:19|Finally, when he turned the key again, the car responded, and the car behind also stopped honking, passing through the intersection one after another.
0:3:21|0:3:40|Ou Jian's car drove to a place under an overpass. As he was about to pass through, a car in front of him suddenly fell straight down. He quickly hit the brakes, crossed his arms to protect his head. Luckily, the falling car flipped over in front of him. With his heart still racing, he lifted his head and looked at the car in front of him, then glanced around.
0:3:40|0:3:47|After getting off the car and closing the door, he looked around while approaching the smoking overturned vehicle, bending down to look inside.
0:3:51|0:3:56|Then he knelt down on one knee, tapped on the car window, only to find that there was no one inside.
0:3:56|0:4:3|Ou Jian stood up, opened his mouth to look around, and after calming down a bit, he looked up at the ring above.
0:4:3|0:4:10|With a furrowed brow and lowered head, a cat was lying on the cement ground next to an electric bike, catching Fei Xin's gaze.
0:4:14|0:4:22|The scene shifts to a dimly lit room, where a man swiftly puts on a leather jacket and approaches with a face wearing sunglasses.
0:4:22|0:4:31|The man in leather jacket walked through several dimly lit rooms and entered the garage with echoes.
0:4:31|0:4:37|As the rolling shutter slowly rises, the man in leather jacket opens the car door and sits down, puts on his glossy leather gloves, and starts the car.
0:4:40|0:4:48|Fei Xin followed behind a man in sportswear, and the two of them walked through the corridor of the house, arriving at the spacious outdoor balcony in no time.
0:4:48|0:4:52|The man in sportswear is also wearing sunglasses and chewing gum in his mouth.
0:4:52|0:4:58|Next to the outdoor pool stands a police officer, while a female corpse floats in the middle of the pool.
0:4:58|0:5:4|The man took the disposable gloves handed to him by the two people and walked towards the young man who was explaining the situation.
